CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
57636Q104,MA,MASTERCARD INCORPORATED,10517,10517,6M,6M,NEW,2.6%
11135F101,AVGO,BROADCOM INC,10610,10610,3.67M,3.67M,NEW,1.6%
81762P102,NOW,SERVICENOW INC,20470,16406,3.14M,2.51M,+403.7%,1.4%
09290D101,BLK,BLACKROCK INC,2305,2305,2.47M,2.47M,NEW,1.1%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,3753,3753,2.17M,2.17M,NEW,0.94%
040413205,ANET,ARISTA NETWORKS INC,13361,13361,1.75M,1.75M,NEW,0.76%
049468101,TEAM,ATLASSIAN CORPORATION,5165,5165,837.45K,837.45K,NEW,0.36%
512807306,LRCX,LAM RESEARCH CORP,4804,4804,822.37K,822.37K,NEW,0.35%
464288513,HYG,ISHARES TR,5977,5977,481.94K,481.94K,NEW,0.21%
46641Q159,JPIE,J P MORGAN EXCHANGE TRADED F,7500,7500,347.18K,347.18K,NEW,0.15%
33738D879,RDVI,FIRST TR EXCHANGE-TRADED FD,12010,12010,315.13K,315.13K,NEW,0.14%
24703L202,DELL,DELL TECHNOLOGIES INC,2350,2350,295.82K,295.82K,NEW,0.13%
33738D812,TDVI,FIRST TR EXCHANGE-TRADED FD,10414,10414,288.87K,288.87K,NEW,0.12%
464287226,AGG,ISHARES TR,2580,2580,257.68K,257.68K,NEW,0.11%
007903107,AMD,ADVANCED MICRO DEVICES INC,1182,1182,253.14K,253.14K,NEW,0.11%
833445109,SNOW,SNOWFLAKE INC,1128,1128,247.44K,247.44K,NEW,0.11%
891160509,TD,TORONTO DOMINION BK ONT,2450,2450,230.79K,230.79K,NEW,0.1%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,2836,300,1.33M,140.63K,+11.8%,0.57%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,22569,2275,1.31M,132.22K,+11.2%,0.57%
38141G104,GS,GOLDMAN SACHS GROUP INC,1865,86,1.64M,75.59K,+4.8%,0.71%
539830109,LMT,LOCKHEED MARTIN CORP,3263,145,1.58M,70.13K,+4.7%,0.68%
00287Y109,ABBV,ABBVIE INC,6313,300,1.44M,68.55K,+5%,0.62%
172967424,C,CITIGROUP INC,11948,425,1.39M,49.59K,+3.7%,0.6%
023135106,AMZN,AMAZON COM INC,30338,200,7M,46.16K,+0.7%,3%
697435105,PANW,PALO ALTO NETWORKS INC,14327,200,2.64M,36.84K,+1.4%,1.1%
22160K105,COST,COSTCO WHSL CORP NEW,3503,40,3.02M,34.49K,+1.2%,1.3%
88579Y101,MMM,3M CO,3231,200,517.3K,32.02K,+6.6%,0.22%
594918104,MSFT,MICROSOFT CORP,19261,63,9.32M,30.47K,+0.3%,4%
G8994E103,TT,TRANE TECHNOLOGIES PLC,570,75,221.84K,29.19K,+15.2%,0.1%
46120E602,ISRG,INTUITIVE SURGICAL INC,9424,45,5.34M,25.49K,+0.5%,2.3%
478160104,JNJ,JOHNSON & JOHNSON,7799,100,1.61M,20.69K,+1.3%,0.7%
30303M102,META,META PLATFORMS INC,4569,25,3.02M,16.5K,+0.6%,1.3%
02079K305,GOOGL,ALPHABET INC,18215,45,5.7M,14.09K,+0.2%,2.5%
46625H100,JPM,JPMORGAN CHASE & CO.,12363,25,3.98M,8.06K,+0.2%,1.7%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,11604,192,372.04K,6.16K,+1.7%,0.16%
464287507,IJH,ISHARES TR,28129,49,1.86M,3.23K,+0.2%,0.8%
92189F486,FLTR,VANECK ETF TRUST,24693,58,629.18K,1.48K,+0.2%,0.27%
464287200,IVV,ISHARES TR,361,2,247.16K,1.37K,+0.6%,0.11%
464288836,IHE,ISHARES TR,3440,15,291.83K,1.27K,+0.4%,0.13%
464287887,IJT,ISHARES TR,11824,9,1.67M,1.27K,+0.1%,0.72%
464287879,IJS,ISHARES TR,7320,11,832.48K,1.25K,+0.2%,0.36%
464287622,IWB,ISHARES TR,934,3,348.7K,1.12K,+0.3%,0.15%
464287168,DVY,ISHARES TR,1448,7,204.35K,987.87,+0.5%,0.09%
921946406,VYM,VANGUARD WHITEHALL FDS,3725,6,534.65K,861.19,+0.2%,0.23%
464287499,IWR,ISHARES TR,35015,8,3.37M,770.16,+0%,1.5%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1814,4,347.56K,766.38,+0.2%,0.15%
46138E362,SPHD,INVESCO EXCH TRADED FD TR II,4194,15,201.31K,720,+0.4%,0.09%
464287606,IJK,ISHARES TR,21177,7,2.05M,678.16,+0%,0.89%
464287671,IUSG,ISHARES TR,2498,3,419.5K,503.81,+0.1%,0.18%
33739P855,FPEI,FIRST TR EXCH TRADED FD III,10941,15,212.14K,290.84,+0.1%,0.09%
464287481,IWP,ISHARES TR,7997,2,1.1M,273.87,+0%,0.47%
464289446,IWL,ISHARES TR,3159,1,539.02K,170.63,+0%,0.23%
33738R506,RDVY,FIRST TR EXCHANGE TRADED FD,4112,1,285.65K,69.47,+0%,0.12%
58733R102,MELI,MERCADOLIBRE INC,1067,0,2.15M,0,NO CHANGE,0.93%
02079K107,GOOG,ALPHABET INC,5617,0,1.76M,0,NO CHANGE,0.76%
464287648,IWO,ISHARES TR,4408,0,1.42M,0,NO CHANGE,0.61%
031162100,AMGN,AMGEN INC,3890,0,1.27M,0,NO CHANGE,0.55%
464287655,IWM,ISHARES TR,4284,0,1.05M,0,NO CHANGE,0.46%
025816109,AXP,AMERICAN EXPRESS CO,2616,0,967.79K,0,NO CHANGE,0.42%
149123101,CAT,CATERPILLAR INC,1815,0,950.7K,0,NO CHANGE,0.41%
17275R102,CSCO,CISCO SYS INC,12342,0,950.7K,0,NO CHANGE,0.41%
N07059210,ASML,ASML HOLDING N V,838,0,896.54K,0,NO CHANGE,0.39%
882508104,TXN,TEXAS INSTRS INC,4274,0,741.5K,0,NO CHANGE,0.32%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,2340,0,711.1K,0,NO CHANGE,0.31%
880770102,TER,TERADYNE INC,3302,0,639.06K,0,NO CHANGE,0.28%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,2160,0,555.62K,0,NO CHANGE,0.24%
09857L108,BKNG,BOOKING HOLDINGS INC,101,0,540.89K,0,NO CHANGE,0.23%
78468R721,TFI,SPDR SERIES TRUST,11750,0,537.09K,0,NO CHANGE,0.23%
002824100,ABT,ABBOTT LABS,4184,0,524.21K,0,NO CHANGE,0.23%
