CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,1421977,572200,873.53M,351.51M,+67.3%,3.8%
25809K105,DASH,DOORDASH INC,1178410,1178410,266.89M,266.89M,NEW,1.2%
75513E101,RTX,RTX CORPORATION,1250000,1250000,229.25M,229.25M,NEW,1%
92537N108,VRT,VERTIV HOLDINGS CO,2003110,1283110,324.52M,207.88M,+178.2%,1.4%
871607107,SNPS,SYNOPSYS INC,1003278,335000,471.26M,157.36M,+50.1%,2.1%
21037T109,CEG,CONSTELLATION ENERGY CORP,1371219,330000,484.41M,116.58M,+31.7%,2.1%
231021106,CMI,CUMMINS INC,190000,190000,96.99M,96.99M,NEW,0.42%
78462F103,SPY,SPDR S&P 500 ETF TR,131500,131500,89.67M,89.67M,NEW,0.39%
92840M102,VST,VISTRA CORP,1946357,440000,314.01M,70.99M,+29.2%,1.4%
558868105,MDGL,MADRIGAL PHARMACEUTICALS INC,240000,120000,139.76M,69.88M,+100%,0.61%
464287523,SOXX,ISHARES TR,192600,192600,58M,58M,NEW,0.25%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,1125000,1125000,54.65M,54.65M,NEW,0.24%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,5438668,175000,1.65B,53.18M,+3.3%,7.2%
639193101,NAVN,NAVAN INC,2686828,2686828,45.89M,45.89M,NEW,0.2%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,93900,93900,45.13M,45.13M,NEW,0.2%
464287432,TLT,ISHARES TR,511000,511000,44.54M,44.54M,NEW,0.19%
464287655,IWM,ISHARES TR,179500,179500,44.19M,44.19M,NEW,0.19%
90138F102,TWLO,TWILIO INC,250000,250000,35.56M,35.56M,NEW,0.16%
433313103,HNGE,HINGE HEALTH INC,791104,415093,36.75M,19.28M,+110.4%,0.16%
04626A103,ALAB,ASTERA LABS INC,325000,75000,54.07M,12.48M,+30%,0.24%
81762P102,NOW,SERVICENOW INC,60170,60170,9.22M,9.22M,NEW,0.04%
888787108,TOST,TOAST INC,1150000,250000,40.84M,8.88M,+27.8%,0.18%
G25508105,CRH,CRH PLC,1800000,50000,224.64M,6.24M,+2.9%,0.98%
65473P105,NI,NISOURCE INC,3230500,130000,134.91M,5.43M,+4.2%,0.59%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,475000,475000,5.32M,5.32M,NEW,0.02%
05605H100,BWXT,BWX TECHNOLOGIES INC,1580848,2800,273.23M,483.95K,+0.2%,1.2%
02079K305,GOOGL,ALPHABET INC,5802558,0,1.82B,0,NO CHANGE,7.9%
512807306,LRCX,LAM RESEARCH CORP,6420456,0,1.1B,0,NO CHANGE,4.8%
594918104,MSFT,MICROSOFT CORP,1976176,0,955.72M,0,NO CHANGE,4.2%
482480100,KLAC,KLA CORP,710365,0,863.15M,0,NO CHANGE,3.8%
30212P303,EXPE,EXPEDIA GROUP INC,2475276,0,701.27M,0,NO CHANGE,3.1%
92826C839,V,VISA INC,1468618,0,515.06M,0,NO CHANGE,2.3%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,1622874,0,507.28M,0,NO CHANGE,2.2%
58733R102,MELI,MERCADOLIBRE INC,240499,0,484.43M,0,NO CHANGE,2.1%
573284106,MLM,MARTIN MARIETTA MATLS INC,747351,0,465.35M,0,NO CHANGE,2%
57636Q104,MA,MASTERCARD INCORPORATED,778465,0,444.41M,0,NO CHANGE,1.9%
929160109,VMC,VULCAN MATLS CO,1478646,0,421.74M,0,NO CHANGE,1.8%
14316J108,CG,CARLYLE GROUP INC,5941316,0,351.19M,0,NO CHANGE,1.5%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,1800310,0,291.58M,0,NO CHANGE,1.3%
90353T100,UBER,UBER TECHNOLOGIES INC,3361005,0,274.63M,0,NO CHANGE,1.2%
369604301,GE,GE AEROSPACE,700000,0,215.62M,0,NO CHANGE,0.94%
29444U700,EQIX,EQUINIX INC,233775,0,179.11M,0,NO CHANGE,0.78%
78467J100,SSNC,SS&C TECHNOLOGIES HLDGS INC,1764916,0,154.29M,0,NO CHANGE,0.67%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,14198535,0,152.35M,0,NO CHANGE,0.67%
122017106,BURL,BURLINGTON STORES INC,525000,0,151.65M,0,NO CHANGE,0.66%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,2004000,0,147.55M,0,NO CHANGE,0.65%
78409V104,SPGI,S&P GLOBAL INC,190416,0,99.51M,0,NO CHANGE,0.44%
824348106,SHW,SHERWIN WILLIAMS CO,306735,0,99.39M,0,NO CHANGE,0.43%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,1447986,0,79.68M,0,NO CHANGE,0.35%
03027X100,AMT,AMERICAN TOWER CORP NEW,428401,0,75.21M,0,NO CHANGE,0.33%
G51502105,JCI,JOHNSON CTLS INTL PLC,620000,0,74.25M,0,NO CHANGE,0.32%
988498101,YUM,YUM BRANDS INC,465603,0,70.44M,0,NO CHANGE,0.31%
172908105,CTAS,CINTAS CORP,236539,0,44.49M,0,NO CHANGE,0.19%
67066G104,NVDA,NVIDIA CORPORATION,211439,0,39.43M,0,NO CHANGE,0.17%
68622P109,ORIC,ORIC PHARMACEUTICALS INC,4504096,0,36.84M,0,NO CHANGE,0.16%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,500289,0,18.51M,0,NO CHANGE,0.08%
037833100,AAPL,APPLE INC,56627,0,15.39M,0,NO CHANGE,0.07%
G29018101,DLO,DLOCAL LTD,823837,0,11.65M,0,NO CHANGE,0.05%
02157Q109,ANRO,ALTO NEUROSCIENCE INC,477101,0,8.49M,0,NO CHANGE,0.04%
70438V106,PCTY,PAYLOCITY HLDG CORP,24683,0,3.76M,0,NO CHANGE,0.02%
04010E109,AGX,ARGAN INC,108845,-11155,34.1M,-3.5M,-9.3%,0.15%
68278B107,OS,ONESTREAM INC,475000,-325000,8.73M,-5.97M,-40.6%,0.04%
85423L103,SARO,STANDARDAERO INC,1702019,-250000,48.81M,-7.17M,-12.8%,0.21%
589492107,MREO,MEREO BIOPHARMA GROUP PLC,0,-3698100,0,-7.62M,CLOSE,0%
781154109,RBRK,RUBRIK INC.,600000,-100000,45.89M,-7.65M,-14.3%,0.2%
76680RAH0,RNG,RINGCENTRAL INC,0,-10000000,0,-9.74M,CLOSE,0%
492327101,KROS,KEROS THERAPEUTICS INC,0,-850511,0,-13.46M,CLOSE,0%
482497104,BEKE,KE HLDGS INC,1093559,-1054164,17.23M,-16.61M,-49.1%,0.08%
M6191J100,FROG,JFROG LTD,414425,-300000,25.88M,-18.74M,-42%,0.11%
316841105,FIG,FIGMA INC,0,-431164,0,-22.36M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-100000,0,-22.55M,CLOSE,0%
90364P105,PATH,UIPATH INC,2611276,-1450000,42.8M,-23.77M,-35.7%,0.19%
29364G103,ETR,ENTERGY CORP NEW,2736012,-268279,252.89M,-24.8M,-8.9%,1.1%
Q4982L109,IREN,IREN LIMITED,800000,-700000,30.22M,-26.44M,-46.7%,0.13%
G63755105,NIQ,NIQ GLOBAL INTELLIGENCE PLC,0,-1840000,0,-28.89M,CLOSE,0%
60937P106,MDB,MONGODB INC,50000,-70000,20.98M,-29.38M,-58.3%,0.09%
