CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
04626A103,ALAB,ASTERA LABS INC,1611194,1549144,268.04M,257.72M,+2496.6%,5.7%
67066G104,NVDA,NVIDIA CORPORATION,1925231,1350508,359.06M,251.87M,+235%,7.6%
M98068105,WIX,WIX COM LTD,1247457,1247457,129.6M,129.6M,NEW,2.7%
278768106,SATS,ECHOSTAR CORP,901084,901084,97.95M,97.95M,NEW,2.1%
974155103,WING,WINGSTOP INC,390005,390005,93.01M,93.01M,NEW,2%
20464U100,COMP,COMPASS INC,8723434,8723434,92.21M,92.21M,NEW,2%
594918104,MSFT,MICROSOFT CORP,181468,181468,87.76M,87.76M,NEW,1.9%
00827B106,AFRM,AFFIRM HLDGS INC,1384941,1177036,103.08M,87.61M,+566.1%,2.2%
19247G107,COHR,COHERENT CORP,1235246,321468,227.99M,59.33M,+35.2%,4.8%
00091G104,ACVA,ACV AUCTIONS INC,12411800,6901010,99.54M,55.35M,+125.2%,2.1%
77311W101,RKT,ROCKET COS INC,3602563,2601906,69.75M,50.37M,+260%,1.5%
05464C101,AXON,AXON ENTERPRISE INC,105469,69008,59.9M,39.19M,+189.3%,1.3%
21873S108,CRWV,COREWEAVE INC,606110,543206,43.4M,38.9M,+863.5%,0.92%
16935C109,CHYM,CHIME FINL INC,1503788,1503788,37.85M,37.85M,NEW,0.8%
368736104,GNRC,GENERAC HLDGS INC,182765,182765,24.92M,24.92M,NEW,0.53%
91332U101,U,UNITY SOFTWARE INC,6625439,513886,292.65M,22.7M,+8.4%,6.2%
718172109,PM,PHILIP MORRIS INTL INC,405759,126662,65.08M,20.32M,+45.4%,1.4%
81764X103,TTAN,SERVICETITAN INC,792433,166206,84.39M,17.7M,+26.5%,1.8%
049468101,TEAM,ATLASSIAN CORPORATION,398230,92999,64.57M,15.08M,+30.5%,1.4%
G6683N103,NU,NU HLDGS LTD,3272998,763609,54.79M,12.78M,+30.4%,1.2%
71377A103,PFGC,PERFORMANCE FOOD GROUP CO,125901,125901,11.32M,11.32M,NEW,0.24%
781154109,RBRK,RUBRIK INC.,895029,142277,68.45M,10.88M,+18.9%,1.5%
93403J106,WRBY,WARBY PARKER INC,393085,393085,8.57M,8.57M,NEW,0.18%
030111207,AMSC,AMERICAN SUPERCONDUCTOR CORP,1044193,272698,30.05M,7.85M,+35.3%,0.64%
023135106,AMZN,AMAZON COM INC,687799,28913,158.76M,6.67M,+4.4%,3.4%
171779309,CIEN,CIENA CORP,1428230,27466,334.02M,6.42M,+2%,7.1%
74624M102,PSTG,PURE STORAGE INC,4177675,79299,279.95M,5.31M,+1.9%,5.9%
595112103,MU,MICRON TECHNOLOGY INC,738916,13959,210.89M,3.98M,+1.9%,4.5%
053332102,AZO,AUTOZONE INC,11620,692,39.41M,2.35M,+6.3%,0.84%
833445109,SNOW,SNOWFLAKE INC,478754,9209,105.02M,2.02M,+2%,2.2%
253393102,DKS,DICKS SPORTING GOODS INC,490828,9442,97.17M,1.87M,+2%,2.1%
94419L101,W,WAYFAIR INC,870864,16474,87.44M,1.65M,+1.9%,1.9%
816850101,SMTC,SEMTECH CORP,691591,13458,50.96M,991.72K,+2%,1.1%
751212101,RL,RALPH LAUREN CORP,127562,2462,45.11M,870.59K,+2%,0.96%
81141R100,SE,SEA LTD,275439,5266,35.14M,671.78K,+1.9%,0.75%
57636Q104,MA,MASTERCARD INCORPORATED,45958,890,26.24M,508.08K,+2%,0.56%
M6191J100,FROG,JFROG LTD,404276,7032,25.25M,439.22K,+1.8%,0.54%
023193105,AMBQ,AMBIQ MICRO INC,696420,12113,19.85M,345.22K,+1.8%,0.42%
775133101,ROG,ROGERS CORP,171920,2995,15.74M,274.25K,+1.8%,0.33%
M8744T106,TBLA,TABOOLA.COM LTD,738210,13210,3.4M,60.9K,+1.8%,0.07%
83542D300,SOND,SONDER HOLDINGS INC,0,-960533,0,-1.22M,CLOSE,0%
36866J105,GEMI,GEMINI SPACE STA INC,0,-70000,0,-1.68M,CLOSE,0%
58733R102,MELI,MERCADOLIBRE INC,4501,-1395,9.07M,-2.81M,-23.7%,0.19%
98954M200,Z,ZILLOW GROUP INC,0,-118098,0,-9.1M,CLOSE,0%
88160R101,TSLA,TESLA INC,186035,-20527,83.66M,-9.23M,-9.9%,1.8%
31488V107,FERG,FERGUSON ENTERPRISES INC,177917,-44707,39.61M,-9.95M,-20.1%,0.84%
02079K305,GOOGL,ALPHABET INC,514339,-35921,160.99M,-11.24M,-6.5%,3.4%
G65163100,JOBY,JOBY AVIATION INC,0,-769407,0,-12.42M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,0,-17378,0,-12.49M,CLOSE,0%
12008R107,BLDR,BUILDERS FIRSTSOURCE INC,0,-137154,0,-16.63M,CLOSE,0%
338307101,FIVN,FIVE9 INC,0,-735151,0,-17.79M,CLOSE,0%
871607107,SNPS,SYNOPSYS INC,0,-38876,0,-19.18M,CLOSE,0%
79589L106,IOT,SAMSARA INC,0,-711215,0,-26.49M,CLOSE,0%
771049103,RBLX,ROBLOX CORP,389571,-347436,31.57M,-28.15M,-47.1%,0.67%
90138F102,TWLO,TWILIO INC,716946,-248817,101.98M,-35.39M,-25.8%,2.2%
922280102,VRNS,VARONIS SYS INC,0,-658415,0,-37.84M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-66093,0,-48.54M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-339358,0,-54.9M,CLOSE,0%
26856L103,ELF,E L F BEAUTY INC,0,-538348,0,-71.32M,CLOSE,0%
458140100,INTC,INTEL CORP,483930,-2127107,17.86M,-78.49M,-81.5%,0.38%
37637K108,GTLB,GITLAB INC,3177083,-2293222,119.24M,-86.06M,-41.9%,2.5%
461202103,INTU,INTUIT,0,-135178,0,-92.31M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,382805,-274155,141.1M,-101.05M,-41.7%,3%
443573100,HUBS,HUBSPOT INC,0,-243434,0,-113.88M,CLOSE,0%
243537107,DECK,DECKERS OUTDOOR CORP,0,-1250516,0,-126.76M,CLOSE,0%
Total,,,,,4.71B,540.33M,+14%,100%
