CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,457908,457908,143.33M,143.33M,NEW,6.2%
687793109,OSCR,OSCAR HEALTH INC,6186267,5227152,88.9M,75.11M,+545%,3.9%
433313103,HNGE,HINGE HEALTH INC,3316101,1466577,154.03M,68.12M,+79.3%,6.7%
23804L103,DDOG,DATADOG INC,658321,365684,89.53M,49.73M,+125%,3.9%
Q4982L109,IREN,IREN LIMITED,6941992,1147765,262.2M,43.35M,+19.8%,11.4%
52567D107,LMND,LEMONADE INC,1826593,572248,130.02M,40.73M,+45.6%,5.7%
02079K107,GOOG,ALPHABET INC,111000,100100,34.83M,31.41M,+918.3%,1.5%
64119N608,NTSK,NETSKOPE INC,1578277,1578277,27.68M,27.68M,NEW,1.2%
781154109,RBRK,RUBRIK INC.,910382,326421,69.63M,24.96M,+55.9%,3%
458140100,INTC,INTEL CORP,636965,636965,23.5M,23.5M,NEW,1%
19247G107,COHR,COHERENT CORP,114965,114965,21.22M,21.22M,NEW,0.92%
30303M102,META,META PLATFORMS INC,95171,32086,62.82M,21.18M,+50.9%,2.7%
770700102,HOOD,ROBINHOOD MKTS INC,834578,127087,94.39M,14.37M,+18%,4.1%
05464C101,AXON,AXON ENTERPRISE INC,27123,23588,15.4M,13.4M,+667.3%,0.67%
384747101,GRAL,GRAIL INC,156263,156263,13.37M,13.37M,NEW,0.58%
74624M102,PSTG,PURE STORAGE INC,168329,168329,11.28M,11.28M,NEW,0.49%
48581R205,KSPI,KASPI KZ JSC,1014104,134068,79.23M,10.47M,+15.2%,3.5%
038169207,APLD,APPLIED DIGITAL CORP,426120,426120,10.45M,10.45M,NEW,0.46%
G70077105,PCSC,PERCEPTIVE CAP SOLUTIONS COR,740264,740264,9.65M,9.65M,NEW,0.42%
11135F101,AVGO,BROADCOM INC,38485,25620,13.32M,8.87M,+199.1%,0.58%
023135106,AMZN,AMAZON COM INC,123987,35514,28.62M,8.2M,+40.1%,1.2%
55024U109,LITE,LUMENTUM HLDGS INC,21423,21423,7.9M,7.9M,NEW,0.34%
26603R106,DUOL,DUOLINGO INC,178910,44543,31.4M,7.82M,+33.2%,1.4%
39854F101,GRND,GRINDR INC,1306412,571717,17.69M,7.74M,+77.8%,0.77%
595112103,MU,MICRON TECHNOLOGY INC,410683,25724,117.21M,7.34M,+6.7%,5.1%
594918104,MSFT,MICROSOFT CORP,90092,14845,43.57M,7.18M,+19.7%,1.9%
82982T106,SITM,SITIME CORP,16150,16150,5.7M,5.7M,NEW,0.25%
68170A108,OMDA,OMADA HEALTH INC,940238,323365,14.84M,5.1M,+52.4%,0.65%
88080T104,WULF,TERAWULF INC,1157735,420572,13.3M,4.83M,+57.1%,0.58%
767292105,RIOT,RIOT PLATFORMS INC,837281,333332,10.61M,4.22M,+66.1%,0.46%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,262752,50541,10.73M,2.06M,+23.8%,0.47%
18452B209,CLSK,CLEANSPARK INC,883654,194429,8.94M,1.97M,+28.2%,0.39%
20451W101,CMPS,COMPASS PATHWAYS PLC,288814,279386,1.99M,1.93M,+2963.4%,0.09%
172573107,CRCL,CIRCLE INTERNET GROUP INC,24200,24200,1.92M,1.92M,NEW,0.08%
09173B107,BITF,BITFARMS LTD,4236912,801068,9.96M,1.88M,+23.3%,0.43%
012653101,ALB,ALBEMARLE CORP,12000,12000,1.7M,1.7M,NEW,0.07%
88339P101,REAL,THE REALREAL INC,1133140,106656,17.88M,1.68M,+10.4%,0.78%
833635105,SQM,SOCIEDAD QUIMICA Y MINERA DE,23769,23769,1.64M,1.64M,NEW,0.07%
G2519Y108,BAP,CREDICORP LTD,16951,5412,4.86M,1.55M,+46.9%,0.21%
G6683N103,NU,NU HLDGS LTD,92527,92527,1.55M,1.55M,NEW,0.07%
89532M101,TRVI,TREVI THERAPEUTICS INC,130000,123261,1.63M,1.54M,+1829.1%,0.07%
81762P102,NOW,SERVICENOW INC,11575,9643,1.77M,1.48M,+499.1%,0.08%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,382751,4572,116.31M,1.39M,+1.2%,5.1%
76155X100,RVMD,REVOLUTION MEDICINES INC,18400,16878,1.47M,1.34M,+1108.9%,0.06%
640268306,NKTR,NEKTAR THERAPEUTICS,21100,21100,892.11K,892.11K,NEW,0.04%
N90064101,QURE,UNIQURE NV,31614,31614,756.52K,756.52K,NEW,0.03%
696389402,PALI,PALISADE BIO INC,305000,305000,716.75K,716.75K,NEW,0.03%
64110L106,NFLX,NETFLIX INC,7636,6997,715.95K,656.04K,+1095%,0.03%
G3855L106,GHRS,GH RESEARCH PLC,50000,50000,635K,635K,NEW,0.03%
878972108,TECX,TECTONIC THERAPEUTIC INC,30000,30000,625.8K,625.8K,NEW,0.03%
252828108,DNTH,DIANTHUS THERAPEUTICS INC,15000,15000,618.15K,618.15K,NEW,0.03%
56400P706,MNKD,MANNKIND CORP,101000,101000,572.67K,572.67K,NEW,0.02%
G52694109,KNSA,KINIKSA PHARMACEUTICALS INTL,12800,12800,528K,528K,NEW,0.02%
45166A102,IDYA,IDEAYA BIOSCIENCES INC,16900,13881,584.23K,479.87K,+459.8%,0.03%
81141R100,SE,SEA LTD,9768,2616,1.25M,333.72K,+36.6%,0.05%
107924102,BBOT,BRIDGEBIO ONCOLOGY THERAPEUT,25000,25000,313K,313K,NEW,0.01%
26818M108,DYN,DYNE THERAPEUTICS INC,15000,15000,293.4K,293.4K,NEW,0.01%
64073B103,NP,NEPTUNE INS HLDGS INC,10000,10000,291.6K,291.6K,NEW,0.01%
799566104,SANA,SANA BIOTECHNOLOGY INC,58000,58000,236.06K,236.06K,NEW,0.01%
05370A108,RNA,AVIDITY BIOSCIENCES INC,3000,3000,216.39K,216.39K,NEW,<.01%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,4482,156,2.1M,73.13K,+3.6%,0.09%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,3385500,0,16.89M,0,NO CHANGE,0.74%
05338F306,AVTX,AVALO THERAPEUTICS INC,0,-1929,0,-24.52K,CLOSE,0%
60255C885,DFTX,MIND MEDICINE MINDMED INC,0,-2245,0,-26.47K,CLOSE,0%
G5279N105,KLAR,KLARNA GROUP PLC,0,-1000,0,-36.65K,CLOSE,0%
04016X101,ARGX,ARGENX SE,0,-50,0,-36.88K,CLOSE,0%
80706P103,SRRK,SCHOLAR ROCK HLDG CORP,0,-1075,0,-40.03K,CLOSE,0%
23284F105,CTMX,CYTOMX THERAPEUTICS INC,0,-16285,0,-51.95K,CLOSE,0%
10806X102,BBIO,BRIDGEBIO PHARMA INC,0,-1056,0,-54.85K,CLOSE,0%
359616109,FULC,FULCRUM THERAPEUTICS INC,0,-6090,0,-56.03K,CLOSE,0%
00973Y108,AKRO,AKERO THERAPEUTICS INC,0,-1261,0,-59.87K,CLOSE,0%
00847X104,AGIO,AGIOS PHARMACEUTICALS INC,0,-1571,0,-63.06K,CLOSE,0%
45258D105,IMCR,IMMUNOCORE HLDGS PLC,0,-1771,0,-64.34K,CLOSE,0%
29337E102,ELVN,ENLIVEN THERAPEUTICS INC,0,-3181,0,-65.11K,CLOSE,0%
N0731H103,ATAI,ATAI LIFE SCIENCES NV,0,-12501,0,-66.13K,CLOSE,0%
23282W605,CYTK,CYTOKINETICS INC,0,-1254,0,-68.92K,CLOSE,0%
45257U108,IMNM,IMMUNOME INC,0,-5927,0,-69.41K,CLOSE,0%
07373V105,BEAM,BEAM THERAPEUTICS INC,0,-3390,0,-82.28K,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO.,6034,-395,1.94M,-127.28K,-6.1%,0.08%
