CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
934423104,WBD,WARNER BROS DISCOVERY INC,1500000,1500000,43.23M,43.23M,NEW,14.6%
464285204,IAU,ISHARES GOLD TR,719722,327042,58.42M,26.55M,+83.3%,19.7%
05370A108,RNA,AVIDITY BIOSCIENCES INC,202370,202370,14.6M,14.6M,NEW,4.9%
47089W104,ALTS,ALT5 SIGMA CORP,10941280,8629103,12.04M,9.49M,+373.2%,4.1%
G70077105,PCSC,PERCEPTIVE CAP SOLUTIONS COR,419084,419084,5.46M,5.46M,NEW,1.8%
12233L206,BNR,BURNING ROCK BIOTECH LTD-ADR,491426,269851,9.9M,5.44M,+121.8%,3.3%
72814P109,PLBY,PLAYBOY INC,3689452,2238296,6.94M,4.21M,+154.2%,2.3%
44267T102,HHH,HOWARD HUGHES HOLDINGS INC,612839,52126,48.89M,4.16M,+9.3%,16.5%
499238202,USBC,USBC INC,2571312,598841,1.63M,380.14K,+30.4%,0.55%
G7257A105,PCAP,PROCAP ACQUISITION CORP,306519,0,3.11M,0,NO CHANGE,1%
594972887,STRK,STRATEGY INC,0,-22784,0,-2.09M,CLOSE,0%
384747101,GRAL,GRAIL INC,1072374,-770277,91.78M,-65.93M,-41.8%,31%
46438F101,IBIT,ISHARES BITCOIN TRUST HEDGEFUND,0,-2214074,0,-143.91M,CLOSE,0%
Total,,,,,295.99M,-98.42M,-28.5%,100%
