CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,808352,808352,150.76M,150.76M,NEW,13.8%
78463V107,GLD,SPDR GOLD TR,342004,342004,135.54M,135.54M,NEW,12.4%
46428Q109,SLV,ISHARES SILVER TR,1948468,1948468,125.52M,125.52M,NEW,11.5%
02079K107,GOOG,ALPHABET INC,170428,170428,53.37M,53.37M,NEW,4.9%
595112103,MU,MICRON TECHNOLOGY INC,350224,153222,99.96M,43.73M,+77.8%,9.2%
68389X105,ORCL,ORACLE CORP,211150,163565,41.16M,31.88M,+343.7%,3.8%
70450Y103,PYPL,PAYPAL HLDGS INC,538298,538298,31.43M,31.43M,NEW,2.9%
46625H100,JPM,JPMORGAN CHASE & CO.,61419,39010,19.79M,12.57M,+174.1%,1.8%
594972408,MSTR,STRATEGY INC,231830,65034,35.23M,9.88M,+39%,3.2%
09857L108,BKNG,BOOKING HOLDINGS INC,9909,1296,53.07M,6.94M,+15%,4.9%
64110L106,NFLX,NETFLIX INC,207740,72066,19.48M,6.76M,+53.1%,1.8%
58733R102,MELI,MERCADOLIBRE INC,8155,3238,16.43M,6.52M,+65.9%,1.5%
097023105,BA,BOEING CO,82335,25922,17.88M,5.63M,+46%,1.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,104680,16961,31.81M,5.15M,+19.3%,2.9%
19260Q107,COIN,COINBASE GLOBAL INC,202769,17948,45.85M,4.06M,+9.7%,4.2%
254687106,DIS,DISNEY WALT CO,34981,34981,3.98M,3.98M,NEW,0.36%
060505104,BAC,BANK AMERICA CORP,66067,66067,3.63M,3.63M,NEW,0.33%
172967424,C,CITIGROUP INC,29571,29571,3.45M,3.45M,NEW,0.32%
81369Y506,XLE,SELECT SECTOR SPDR TR,43622,39852,2.3M,2.1M,+1057.1%,0.21%
931142103,WMT,WALMART INC,13537,13537,1.51M,1.51M,NEW,0.14%
82509L107,SHOP,SHOPIFY INC,3256,3256,524.12K,524.12K,NEW,0.05%
30231G102,XOM,EXXON MOBIL CORP,2233,2233,268.72K,268.72K,NEW,0.02%
90353T100,UBER,UBER TECHNOLOGIES INC,3641,800,297.51K,65.37K,+28.2%,0.03%
437076102,HD,HOME DEPOT INC,1343,-1,462.13K,-344.1,-0.1%,0.04%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,9426,-399,4.42M,-187.04K,-4.1%,0.4%
91680M107,UPST,UPSTART HLDGS INC,9295,-6200,406.47K,-271.13K,-40%,0.04%
532457108,LLY,ELI LILLY & CO,0,-461,0,-351.74K,CLOSE,0%
87612E106,TGT,TARGET CORP,7203,-3600,704.09K,-351.9K,-33.3%,0.06%
336433107,FSLR,FIRST SOLAR INC,0,-1843,0,-406.44K,CLOSE,0%
46090E103,QQQ,INVESCO QQQ TR,0,-695,0,-417.26K,CLOSE,0%
47215P106,JD,JD.COM INC,19391,-17900,556.52K,-513.73K,-48%,0.05%
166764100,CVX,CHEVRON CORP NEW,10696,-5300,1.63M,-807.77K,-33.1%,0.15%
22160K105,COST,COSTCO WHSL CORP NEW,5307,-1001,4.58M,-863.2K,-15.9%,0.42%
949746101,WFC,WELLS FARGO CO NEW,25963,-11499,2.42M,-1.07M,-30.7%,0.22%
81369Y605,XLF,SELECT SECTOR SPDR TR,0,-24857,0,-1.34M,CLOSE,0%
36467W109,GME,GAMESTOP CORP NEW,0,-97083,0,-2.65M,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-16548,0,-2.75M,CLOSE,0%
00724F101,ADBE,ADOBE INC,3281,-20181,1.15M,-7.06M,-86%,0.11%
86800U302,SMCI,SUPER MICRO COMPUTER INC,149085,-581100,4.36M,-17.01M,-79.6%,0.4%
01609W102,BABA,ALIBABA GROUP HLDG LTD,59852,-179987,8.77M,-26.38M,-75%,0.8%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,321644,-226077,57.17M,-40.19M,-41.3%,5.2%
833445109,SNOW,SNOWFLAKE INC,2613,-207866,573.19K,-45.6M,-98.8%,0.05%
11135F101,AVGO,BROADCOM INC,81350,-134411,28.16M,-46.52M,-62.3%,2.6%
02079K305,GOOGL,ALPHABET INC,0,-315636,0,-76.73M,CLOSE,0%
464287655,IWM,ISHARES TR,0,-339320,0,-82.1M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-791923,0,-128.13M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-179272,0,-131.65M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-407072,0,-181.03M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-384623,0,-199.22M,CLOSE,0%
78462F103,SPY,SPDR S&P 500 ETF TR,121111,-1222741,82.59M,-833.81M,-91%,7.6%
Total,,,,,1.09B,-1.18B,-48.2%,100%
