CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA,78123960,70283539,1.46B,1.31B,+896.4%,14.7%
594918104,MSFT,MICROSOFT CORP,23568250,21231333,1.14B,1.03B,+908.5%,11.5%
037833100,AAPL,APPLE COMPUTER INC,41984810,37746784,1.14B,1.03B,+890.7%,11.5%
023135106,AMZN,AMAZON.COM,27862400,25017588,643.12M,577.46M,+879.4%,6.5%
02079K107,GOOG,ALPHABET INC,17692600,15830754,555.19M,496.77M,+850.3%,5.6%
02079K305,GOOGL,ALPHABET INC,14525280,13004828,454.64M,407.05M,+855.3%,4.6%
11135F101,AVGO,BROADCOM INC,12689800,11414701,439.19M,395.06M,+895.2%,4.4%
88160R101,TSLA,TESLA INC,8202060,7367507,368.86M,331.33M,+882.8%,3.7%
92826C839,V,VISA INC-CLASS A SHARES,8213610,7364762,288.06M,258.29M,+867.6%,2.9%
46625H100,JPM,JPMORGAN CHASE & CO,8673530,7796814,279.48M,251.23M,+889.3%,2.8%
532457108,LLY,ELI LILLY & CO,2375050,2131734,255.24M,229.09M,+876.1%,2.6%
57636Q104,MA,MASTERCARD INC,4072210,3648748,232.47M,208.3M,+861.6%,2.4%
05722G100,BKR,BAKER HUGHES CO,49353310,44887481,224.75M,204.42M,+1005.1%,2.3%
95040Q104,WELL,WELLTOWER INC,9513540,8612016,176.58M,159.85M,+955.3%,1.8%
22160K105,COST,COSTCO WHOLESALE CORP,1785080,1607833,153.94M,138.65M,+907.1%,1.6%
74340W103,PLD,"PROLOGIS, INC",11228730,10207267,143.35M,130.31M,+999.3%,1.4%
64110L106,NFLX,NETFLIX INC,13592440,13453117,127.44M,126.14M,+9656.1%,1.3%
742718109,PG,PROCTER & GAMBLE CO,9521440,8731126,136.45M,125.13M,+1104.8%,1.4%
060505104,BAC,BANK OF AMERICA CORP,25095260,22621546,138.02M,124.42M,+914.5%,1.4%
512807108,LRCX,LAM RESEARCH,6780520,6780520,116.07M,116.07M,NEW,1.2%
00287Y109,ABBV,ABBVIE INC,5444930,4908260,124.41M,112.15M,+914.6%,1.3%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,6585630,5938343,117.06M,105.55M,+917.4%,1.2%
09857L108,BKNG,BOOKING HOLDINGS INC,218080,195411,116.79M,104.65M,+862%,1.2%
002198163,CSCO,CISCO SYSTEMS,13408500,13408500,103.28M,103.28M,NEW,1%
437076102,HD,HOME DEPOT,3290540,2961979,113.23M,101.92M,+901.5%,1.1%
58933Y105,MRK,MERCK & CO,9619320,9619320,101.25M,101.25M,NEW,1%
007903107,AMD,ADVANCED MICRO DEVICES,4673060,4673060,100.08M,100.08M,NEW,1%
79466L302,CRM,SALESFORCE,3883610,3504605,102.88M,92.84M,+924.7%,1%
191216100,KO,COCA-COLA COMPANY,14432190,12939959,100.89M,90.46M,+867.2%,1%
68389X105,ORCL,ORACLE CORPORATION,4991010,4482934,97.28M,87.38M,+882.3%,0.98%
053015103,ADP,AUTOMATIC DATA PROCESSING,3563180,3223855,91.66M,82.93M,+950.1%,0.93%
78409V104,SPGI,S&P GLOBAL,1760230,1576544,91.99M,82.39M,+858.3%,0.93%
91324P102,UNH,UNITEDHEALTH GROUP,2523700,2262006,83.31M,74.67M,+864.4%,0.84%
81762P102,NOW,SERVICENOW INC,4917460,4812643,75.33M,73.73M,+4591.5%,0.76%
337738108,FISV,FISERV,0,-401168,0,-51.72M,CLOSE,0%
17275R102,CSCO,CISCO SYSTEMS,0,-1415849,0,-96.87M,CLOSE,0%
Total,,,,,9.89B,8.81B,+93.6%,100%
