CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,1206424,469944,583.45M,227.27M,+63.8%,22.9%
67066G104,NVDA,NVIDIA CORPORATION,1589000,378000,296.35M,70.5M,+31.2%,11.6%
02079K107,GOOG,ALPHABET INC,184500,184500,57.9M,57.9M,NEW,2.3%
872590104,TMUS,T-MOBILE US INC,872081,164797,177.07M,33.46M,+23.3%,6.9%
35671D857,FCX,FREEPORT-MCMORAN INC,9621434,530000,488.67M,26.92M,+5.8%,19.1%
64110L106,NFLX,NETFLIX INC,120000,120000,11.25M,11.25M,NEW,0.44%
060505104,BAC,BANK AMERICA CORP,1254061,154061,68.97M,8.47M,+14%,2.7%
24703L202,DELL,DELL TECHNOLOGIES INC,835348,63448,105.15M,7.99M,+8.2%,4.1%
722304102,PDD,PDD HOLDINGS INC,46000,46000,5.22M,5.22M,NEW,0.2%
30303M102,META,META PLATFORMS INC,169500,6500,111.89M,4.29M,+4%,4.4%
023135106,AMZN,AMAZON COM INC,1664166,0,384.12M,0,NO CHANGE,15%
571903202,MAR,MARRIOTT INTL INC NEW,208952,0,64.83M,0,NO CHANGE,2.5%
254687106,DIS,DISNEY WALT CO,553000,-94000,62.91M,-10.69M,-14.5%,2.5%
444859102,HUM,HUMANA INC,34310,-43640,8.79M,-11.18M,-56%,0.34%
G1151C101,ACN,ACCENTURE PLC IRELAND,0,-70750,0,-17.45M,CLOSE,0%
47215P106,JD,JD.COM INC,236400,-710000,6.78M,-20.38M,-75%,0.27%
037833100,AAPL,APPLE INC,234053,-227348,63.63M,-61.81M,-49.3%,2.5%
844741108,LUV,SOUTHWEST AIRLS CO,1356161,-1866885,56.05M,-77.16M,-57.9%,2.2%
Total,,,,,2.55B,254.6M,+11.6%,100%
