CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
007903107,AMD,ADVANCED MICRO DEVICES INC,7130868,6777265,1.53B,1.45B,+1916.6%,1.2%
78462F103,SPY,SPDR S&P 500 ETF TR,5446550,2120047,3.71B,1.45B,+63.7%,2.8%
64110L106,NFLX,NETFLIX INC,11590393,10807837,1.09B,1.01B,+1381.1%,0.83%
464287200,IVV,ISHARES TR,1175000,1175000,804.8M,804.8M,NEW,0.61%
023135106,AMZN,AMAZON COM INC,6066870,2823508,1.4B,651.72M,+87.1%,1.1%
882508104,TXN,TEXAS INSTRS INC,7495876,3615526,1.3B,627.26M,+93.2%,0.99%
437076102,HD,HOME DEPOT INC,2513040,1648606,864.74M,567.29M,+190.7%,0.66%
655844108,NSC,NORFOLK SOUTHN CORP,2278400,1825612,657.82M,527.09M,+403.2%,0.5%
580135101,MCD,MCDONALDS CORP,2078003,1688635,635.1M,516.1M,+433.7%,0.48%
00206R102,T,AT&T INC,29984784,20749641,744.82M,515.42M,+224.7%,0.57%
620076307,MSI,MOTOROLA SOLUTIONS INC,1316150,1227493,504.51M,470.52M,+1384.5%,0.38%
09857L108,BKNG,BOOKING HOLDINGS INC,219378,87610,1.17B,469.18M,+66.5%,0.89%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,767415,762829,445.65M,442.98M,+16633.9%,0.34%
88160R101,TSLA,TESLA INC,2323528,946504,1.04B,425.66M,+68.7%,0.79%
494368103,KMB,KIMBERLY-CLARK CORP,4293521,4045945,433.17M,408.2M,+1634.2%,0.33%
22160K105,COST,COSTCO WHSL CORP NEW,923707,457005,796.55M,394.09M,+97.9%,0.61%
824348106,SHW,SHERWIN WILLIAMS CO,1398988,1203457,453.31M,389.96M,+615.5%,0.34%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,2951420,1271785,896.91M,386.48M,+75.7%,0.68%
14040H105,COF,CAPITAL ONE FINL CORP,2443036,1586217,592.09M,384.44M,+185.1%,0.45%
594972AS0,MSTR,STRATEGY INC,416485000,416485000,342.36M,342.36M,NEW,0.26%
539830109,LMT,LOCKHEED MARTIN CORP,1340668,699458,648.44M,338.31M,+109.1%,0.49%
803054204,SAP,SAP SE,2301078,1380047,558.95M,335.23M,+149.8%,0.42%
35671D857,FCX,FREEPORT-MCMORAN INC,12890435,6412071,654.71M,325.67M,+99%,0.5%
517834107,LVS,LAS VEGAS SANDS CORP,4977297,4950587,323.97M,322.23M,+18534.6%,0.25%
74743L100,Q,QNITY ELECTRONICS INC,3584196,3584196,292.65M,292.65M,NEW,0.22%
92826C839,V,VISA INC,2048376,803946,718.39M,281.95M,+64.6%,0.55%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,13612705,11259326,326.98M,270.45M,+478.4%,0.25%
92345Y106,VRSK,VERISK ANALYTICS INC,3078977,1157181,688.74M,258.85M,+60.2%,0.52%
81762P102,NOW,SERVICENOW INC,1684593,1645871,258.06M,252.13M,+4250.5%,0.2%
36828A101,GEV,GE VERNOVA INC,645897,385002,422.14M,251.63M,+147.6%,0.32%
