CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,Netflix Inc,2853728,2578603,267.57M,241.77M,+937.2%,0.62%
023135106,AMZN,Amazon.com Inc,8620258,723784,1.99B,167.06M,+9.2%,4.6%
594918104,MSFT,Microsoft Corp.,5303320,284291,2.56B,137.49M,+5.7%,6%
H1467J104,CB,Chubb Ltd (USD),663505,422697,207.09M,131.93M,+175.5%,0.48%
67066G104,NVDA,Nvidia Corp. (US),17698054,652749,3.3B,121.74M,+3.8%,7.7%
682680103,OKE,ONEOK Inc.,1691433,1644945,124.32M,120.9M,+3538.4%,0.29%
81762P102,NOW,ServiceNow Inc.,837701,699633,128.33M,107.18M,+506.7%,0.3%
G6683N103,NU,NU Holdings Ltd/Cayman Islands,5074732,4249632,84.95M,71.14M,+515%,0.2%
05722G100,BKR,Baker Hughes Co,1643742,1555283,74.86M,70.83M,+1758.2%,0.17%
02079K107,GOOG,Alphabet Inc C,2994735,210099,939.75M,65.93M,+7.5%,2.2%
11135F101,AVGO,Broadcom Inc,3182390,189187,1.1B,65.48M,+6.3%,2.6%
88160R101,TSLA,Tesla Inc (US),2482189,133527,1.12B,60.05M,+5.7%,2.6%
00724F101,ADBE,Adobe Inc. (US),399184,152423,139.71M,53.35M,+61.8%,0.32%
68389X105,ORCL,Oracle Corp.,1368095,269063,266.66M,52.44M,+24.5%,0.62%
24703L202,DELL,Dell Technologies Inc C,623955,416428,78.54M,52.42M,+200.7%,0.18%
92826C839,V,Visa Inc Class A,1804152,147100,632.73M,51.59M,+8.9%,1.5%
406216101,HAL,Halliburton Co,1805945,1688146,51.04M,47.71M,+1433.1%,0.12%
02079K305,GOOGL,Alphabet Inc A,4814157,146601,1.51B,45.89M,+3.1%,3.5%
79466L302,CRM,Salesforce Inc,999299,159234,264.72M,42.18M,+19%,0.62%
91324P102,UNH,UnitedHealth Group Inc.,677228,111642,223.56M,36.85M,+19.7%,0.52%
22160K105,COST,Costco Wholesale Corp.,334495,41208,288.45M,35.54M,+14.1%,0.67%
532457108,LLY,Eli Lilly & Co.,703564,32500,756.11M,34.93M,+4.8%,1.8%
75886F107,REGN,Regeneron Pharmaceuticals Inc.,99302,43775,76.65M,33.79M,+78.8%,0.18%
37045V100,GM,General Motors Co.,1272142,394974,103.45M,32.12M,+45%,0.24%
46120E602,ISRG,Intuitive Surgical Inc.,257973,55595,146.11M,31.49M,+27.5%,0.34%
478160104,JNJ,Johnson & Johnson,2123341,141534,439.43M,29.29M,+7.1%,1%
09857L108,BKNG,Booking Holdings Inc,27916,5137,149.5M,27.51M,+22.6%,0.35%
46625H100,JPM,JPMorgan Chase & Co.,2293510,84193,739.01M,27.13M,+3.8%,1.7%
437076102,HD,Home Depot Inc/The,555594,74515,191.18M,25.64M,+15.5%,0.44%
88262P102,TPL,Texas Pacific Land Corp,141165,84820,40.55M,24.36M,+150.5%,0.09%
369604301,GE,General Electric Co,708487,78575,218.23M,24.2M,+12.5%,0.51%
78467J100,SSNC,SS&C Technologies Holdings Inc,521042,264365,45.55M,23.11M,+103%,0.11%
681919106,OMC,Omnicom Group Inc.,423867,274919,34.23M,22.2M,+184.6%,0.08%
254687106,DIS,Walt Disney Co/The,1433252,191841,163.06M,21.83M,+15.5%,0.38%
595112103,MU,Micron Technology Inc,898366,75030,256.4M,21.41M,+9.1%,0.6%
941848103,WAT,Waters Corp.,76639,55152,29.11M,20.95M,+256.7%,0.07%
099724106,BWA,BorgWarner Inc.,492199,457406,22.18M,20.61M,+1314.6%,0.05%
075887109,BDX,Becton Dickinson & Co.,289926,105091,56.27M,20.4M,+56.9%,0.13%
911312106,UPS,United Parcel Service Inc. B U.P.S.,540815,189438,53.64M,18.79M,+53.9%,0.12%
457669307,INSM,Insmed Inc,110258,107858,19.19M,18.77M,+4494.1%,0.04%
084670702,BRK.B,Berkshire Hathaway Inc. B,826882,36694,415.63M,18.44M,+4.6%,0.97%
007903107,AMD,Advanced Micro Devices Inc.,893817,81766,191.42M,17.51M,+10.1%,0.45%
949746101,WFC,Wells Fargo Co. (US),2759944,187317,257.23M,17.46M,+7.3%,0.6%
872590104,TMUS,T-Mobile US Inc,405073,82571,82.25M,16.77M,+25.6%,0.19%
808513105,SCHW,Charles Schwab Corp/The,1658451,164854,165.7M,16.47M,+11%,0.39%
127387108,CDNS,Cadence Design Systems Inc.,236124,51807,73.81M,16.19M,+28.1%,0.17%
064058100,BK,Bank of New York Mellon Corp/The,738730,133249,85.76M,15.47M,+22%,0.2%
617446448,MS,Morgan Stanley,739230,84366,131.24M,14.98M,+12.9%,0.31%
127203107,WHD,Cactus Inc,352367,325252,16.1M,14.86M,+1199.5%,0.04%
57636Q104,MA,Mastercard Inc-Class A,457980,25534,261.45M,14.58M,+5.9%,0.61%
191216100,KO,Coca-Cola Co/The,3615129,200730,252.73M,14.03M,+5.9%,0.59%
03076C106,AMP,Ameriprise Financial Inc.,88736,28441,43.51M,13.95M,+47.2%,0.1%
049468101,TEAM,Atlassian Corp,165774,84346,26.88M,13.68M,+103.6%,0.06%
863667101,SYK,Stryker Corp.,256206,38780,90.05M,13.63M,+17.8%,0.21%
74743L100,Q,Qnity Electronics Inc Temporary share,166472,166472,13.59M,13.59M,NEW,0.03%
65339F101,NEE,NextEra Energy Inc.,1338163,168976,107.43M,13.57M,+14.5%,0.25%
89417E109,TRV,Travelers Cos Inc/The,233140,45694,67.62M,13.25M,+24.4%,0.16%
461202103,INTU,Intuit Inc.,247157,19592,163.72M,12.98M,+8.6%,0.38%
444859102,HUM,Humana Inc.,108319,50509,27.74M,12.94M,+87.4%,0.06%
931142103,WMT,Walmart Inc,2972738,114004,331.19M,12.7M,+4%,0.77%
201723103,CMC,Commercial Metals Co,180786,178786,12.51M,12.38M,+8939.3%,0.03%
G1151C101,ACN,Accenture Plc A (USD),438648,45848,117.69M,12.3M,+11.7%,0.27%
742718109,PG,Procter & Gamble Co/The,1730902,85258,248.06M,12.22M,+5.2%,0.58%
871829107,SYY,Sysco Corp.,643774,162765,47.44M,11.99M,+33.8%,0.11%
459200101,IBM,International Business Machines Corp,526622,40091,155.99M,11.88M,+8.2%,0.36%
883556102,TMO,Thermo Fisher Scientific Inc,274191,20136,158.88M,11.67M,+7.9%,0.37%
253868103,DLR,Digital Realty Trust Inc,320040,72100,49.51M,11.15M,+29.1%,0.12%
713448108,PEP,PepsiCo Inc.,1002818,75884,143.92M,10.89M,+8.2%,0.33%
98419M100,XYL,Xylem Inc/NY,312845,79959,42.6M,10.89M,+34.3%,0.1%
517834107,LVS,Las Vegas Sands Corp.,313566,163907,20.41M,10.67M,+109.5%,0.05%
L8681T102,SPOT,Spotify Technology SA,98870,18008,57.41M,10.46M,+22.3%,0.13%
74762E102,PWR,Quanta Services Inc.,163373,24579,68.95M,10.37M,+17.7%,0.16%
103304101,BYD,Boyd Gaming Corp.,120149,120149,10.24M,10.24M,NEW,0.02%
053015103,ADP,Automatic Data Processing Inc,293453,39387,75.48M,10.13M,+15.5%,0.18%
38141G104,GS,Goldman Sachs Group Inc/The,236177,11475,207.6M,10.09M,+5.1%,0.48%
291011104,EMR,Emerson Electric Co.,458476,75639,60.85M,10.04M,+19.8%,0.14%
92537N108,VRT,Vertiv Holdings Co,266355,61930,43.15M,10.03M,+30.3%,0.1%
235851102,DHR,Danaher Corp. (US),415366,43644,95.09M,9.99M,+11.7%,0.22%
001055102,AFL,Aflac Inc,387106,87700,42.69M,9.67M,+29.3%,0.1%
78409V104,SPGI,S&P Global Inc,225778,18465,117.99M,9.65M,+8.9%,0.27%
693475105,PNC,PNC Financial Services Group Inc/The,296592,46105,61.91M,9.62M,+18.4%,0.14%
872540109,TJX,TJX Cos Inc/The,706152,61751,108.47M,9.49M,+9.6%,0.25%
032654105,ADI,Analog Devices Inc,309317,34271,83.89M,9.29M,+12.5%,0.2%
458140100,INTC,Intel Corp,2407086,248290,88.82M,9.16M,+11.5%,0.21%
126650100,CVS,CVS Health Corp.,928462,113009,73.68M,8.97M,+13.9%,0.17%
G54950103,LIN,Linde PLC,569838,20739,242.97M,8.84M,+3.8%,0.57%
00206R102,T,AT&T Inc.,3848606,346059,95.6M,8.6M,+9.9%,0.22%
770700102,HOOD,Robinhood Markets Inc,391965,75495,44.33M,8.54M,+23.9%,0.1%
49714P108,KNSL,Kinsale Capital Group Inc,49524,21741,19.37M,8.5M,+78.3%,0.05%
097023105,BA,Boeing Co/The,226519,38478,49.18M,8.35M,+20.5%,0.11%
G5960L103,MDT,Medtronic PLC,841228,86433,80.81M,8.3M,+11.5%,0.19%
F21107101,CSTM,Constellium SE,437099,437099,8.24M,8.24M,NEW,0.02%
171779309,CIEN,Ciena Corp,36700,35000,8.58M,8.19M,+2058.8%,0.02%
04626A103,ALAB,Astera Labs Inc,52500,49090,8.73M,8.17M,+1439.6%,0.02%
G29183103,ETN,Eaton Corp PLC,211915,25522,67.5M,8.13M,+13.7%,0.16%
42824C109,HPE,Hewlett Packard Enterprise Co.,1092885,335436,26.25M,8.06M,+44.3%,0.06%
907818108,UNP,Union Pacific Corp.,371996,34605,86.05M,8M,+10.3%,0.2%
40412C101,HCA,HCA Healthcare Inc,287954,16884,134.43M,7.88M,+6.2%,0.31%
244199105,DE,Deere & Co,129705,16777,60.39M,7.81M,+14.9%,0.14%
69753M105,PLMR,Palomar Holdings Inc,138295,56898,18.64M,7.67M,+69.9%,0.04%
093712107,BE,Bloom Energy Corp,89500,87900,7.78M,7.64M,+5493.8%,0.02%
02665T306,AMH,American Homes 4 Rent,509247,236883,16.35M,7.6M,+87%,0.04%
172967424,C,Citigroup Inc,1035472,64959,120.83M,7.58M,+6.7%,0.28%
247361702,DAL,Delta Air Lines Inc (DAL),284322,107526,19.73M,7.46M,+60.8%,0.05%
