CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,18990,18990,3.54M,3.54M,NEW,5.1%
22160K105,COST,COSTCO WHSL CORP NEW,4050,4050,3.49M,3.49M,NEW,5.1%
46438R105,ETHA,ISHARES ETHEREUM TR,57042,27042,1.28M,606.55K,+90.1%,1.9%
02079K107,GOOG,ALPHABET INC,54000,0,16.95M,0,NO CHANGE,24.6%
46120E602,ISRG,INTUITIVE SURGICAL INC,15425,0,8.74M,0,NO CHANGE,12.7%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,300000,0,4.37M,0,NO CHANGE,6.3%
640268306,NKTR,NEKTAR THERAPEUTICS,37349,0,1.58M,0,NO CHANGE,2.3%
37954Y871,URA,GLOBAL X FDS,27169,0,1.16M,0,NO CHANGE,1.7%
293594107,ENVX,ENOVIX CORPORATION,138375,0,1.01M,0,NO CHANGE,1.5%
85208P303,URNM,SPROTT FDS TR,15000,0,823.35K,0,NO CHANGE,1.2%
829933100,SIRI,SIRIUSXM HOLDINGS INC,29312,0,586.09K,0,NO CHANGE,0.85%
G9460G101,VAL,VALARIS LTD,10000,0,504K,0,NO CHANGE,0.73%
916896103,UEC,URANIUM ENERGY CORP,41835,0,488.63K,0,NO CHANGE,0.71%
46138G474,PSCE,INVESCO EXCH TRADED FD TR,9000,0,386.77K,0,NO CHANGE,0.56%
248356107,DNN,DENISON MINES CORP,120243,0,319.85K,0,NO CHANGE,0.46%
H8817H100,RIG,TRANSOCEAN LTD,60000,0,247.8K,0,NO CHANGE,0.36%
389638107,ETHE,GRAYSCALE ETHEREUM TRUST,10000,0,243.7K,0,NO CHANGE,0.35%
Y3894J187,IMPP,IMPERIAL PETE INC,1599086,-2726,5.79M,-9.87K,-0.2%,8.4%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,58630,-8870,10.42M,-1.58M,-13.1%,15.1%
68389X105,ORCL,ORACLE CORP,36000,-14000,7.02M,-2.73M,-28%,10.2%
Total,,,,,68.94M,3.33M,+4.8%,100%
