CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
724078100,PIPR,PIPER SANDLER CO,82407,82407,27.99M,27.99M,NEW,0.86%
87157D109,SYNA,SYNAPTICS INC,339113,339113,25.1M,25.1M,NEW,0.77%
88162F105,TTI,TETRA TECHNOLOGIES,2855302,2605893,26.75M,24.42M,+1044.8%,0.82%
89532M101,TRVI,TREVI THERAPEUTICS,1892276,1892276,23.69M,23.69M,NEW,0.73%
125141101,CECO,CECO ENVIRONMENTAL CORP,458525,339118,27.44M,20.3M,+284%,0.85%
45245E109,IMAX,IMAX CORP,853822,524650,31.56M,19.39M,+159.4%,0.97%
550249106,LMRI,LUMEXA IMAGING HOLDINGS INC,932889,932889,17.26M,17.26M,NEW,0.53%
090168105,BLLN,BILLIONTOONE INC,188949,188949,15.46M,15.46M,NEW,0.48%
05356F105,AVAH,AVEANNA HEALTHCARE HOLDINGS,1748725,1748725,14.29M,14.29M,NEW,0.44%
046433108,ATRO,ASTRONICS CORP,242727,242727,13.17M,13.17M,NEW,0.41%
14154A102,CDNL,CARDINAL INFRASTRUCTURE GROUP,513355,513355,12.41M,12.41M,NEW,0.38%
60786M105,MC,MOELIS & CO,615594,164097,42.32M,11.28M,+36.3%,1.3%
30049H102,EVLV,EVOLV TECHNOLOGIES,4171243,1551421,29.87M,11.11M,+59.2%,0.92%
65487K100,LASR,NLIGHT INC,781877,295396,29.33M,11.08M,+60.7%,0.9%
19046P209,CCB,COASTAL FINANCIAL CORP,152755,93669,17.5M,10.73M,+158.5%,0.54%
52603A208,LC,LENDINGCLUB CORP,778208,566334,14.74M,10.73M,+267.3%,0.45%
918284100,VSEC,VSE CORPORATION,279543,56252,48.3M,9.72M,+25.2%,1.5%
G5509L101,LIVN,LIVANOVA PLC,700948,149786,43.13M,9.22M,+27.2%,1.3%
501242101,KLIC,KULICKE AND SOFFA INDUSTRIES,539114,176504,24.56M,8.04M,+48.7%,0.76%
902788108,UMBF,UMB FINANCIAL CORP,275296,65733,31.67M,7.56M,+31.4%,0.98%
23204G100,CUBI,CUSTOMERS BANCORP INC,330310,98557,24.15M,7.21M,+42.5%,0.74%
030111207,AMSC,AMERICAN SEMICONDUCTOR CORP,757568,236385,21.8M,6.8M,+45.4%,0.67%
004225108,ACAD,ACADIA PHARMACEUTICALS INC,811197,241526,21.67M,6.45M,+42.4%,0.67%
811707801,SBCF,SEACOAST BANKING CORPORATION OF FLORIDA,191651,191651,6.02M,6.02M,NEW,0.19%
92847W103,VITL,VITAL FARMS INC,1162022,171397,37.11M,5.47M,+17.3%,1.1%
782011100,RSI,RUSH STREET INTERACTIVE INC,1606049,264310,31.21M,5.14M,+19.7%,0.96%
296315104,ESE,ESCO TECHNOLOGIES INC,166679,25260,32.57M,4.94M,+17.9%,1%
04206A101,ARLO,ARLO TECHNOLOGIES,2059864,325593,28.82M,4.56M,+18.8%,0.89%
000361105,AIR,AAR CORPORATION,419470,54595,34.73M,4.52M,+15%,1.1%
092244102,BRCB,BLACK ROCK COFFEE BAR,612493,197447,13.63M,4.39M,+47.6%,0.42%
816850101,SMTC,SEMTECH CORP,470751,51657,34.69M,3.81M,+12.3%,1.1%
099406100,BOOT,BOOT BARN HOLDINGS INC,181688,21523,32.06M,3.8M,+13.4%,0.99%
44980X109,IPGP,IPG PHOTONICS CORP,204050,52083,14.61M,3.73M,+34.3%,0.45%
04010E109,AGX,ARGAN INC,98072,11540,30.73M,3.62M,+13.3%,0.95%
71367G102,PWP,PERELLA WEINBERG PARTNERS,988706,185052,17.1M,3.2M,+23%,0.53%
00773J202,SYRE,SPYRE THERAPEUTICS,636109,87397,20.84M,2.86M,+15.9%,0.64%
12448X201,BYRN,BYRNA TECHNOLOGIES INC,162809,162809,2.73M,2.73M,NEW,0.08%
358039105,FRPT,FRESHPET INC,417400,42717,25.43M,2.6M,+11.4%,0.78%
640268306,NKTR,NEKTAR THERAPEUTICS,384342,61096,16.25M,2.58M,+18.9%,0.5%
33748L101,FWRG,FIRST WATCH RESTAURANT GROUP,978408,157318,14.75M,2.37M,+19.2%,0.45%
64073B103,NP,NEPTUNE INSURANCE HOLDINGS,113217,72978,3.3M,2.13M,+181.4%,0.1%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,670577,60932,23.38M,2.12M,+10%,0.72%
04035M102,ARHS,ARHAUS INC,1846549,168240,20.7M,1.89M,+10%,0.64%
204166102,CVLT,COMMVAULT SYSTEMS INC,171885,14991,21.55M,1.88M,+9.6%,0.66%
20464U100,COMP,COMPASS INC,1739511,151618,18.39M,1.6M,+9.5%,0.57%
30041R108,EVER,EVERQUOTE INC,720686,31433,19.46M,848.69K,+4.6%,0.6%
64110L106,NFLX,NETFLIX INC,9920,8904,930.1K,834.84K,+876.4%,0.03%
453204109,PI,IMPINJ INC,158802,3569,27.63M,621.04K,+2.3%,0.85%
59540G107,MPB,MID PENN BANCORP INC,22419,15000,695.44K,465.3K,+202.2%,0.02%
83418M103,SEI,SOLARIS ENERGY INFRASTRUCTURE INC,626692,9973,28.81M,458.46K,+1.6%,0.89%
831349105,SLDE,SLIDE INSURANCE HOLDINGS INC,61145,22789,1.19M,443.93K,+59.4%,0.04%
553368101,MP,MP MATERIALS CORP,18046,8163,911.68K,412.39K,+82.6%,0.03%
72581M404,PXLW,PIXELWORKS INC,64695,64695,411.46K,411.46K,NEW,0.01%
81762P102,NOW,SERVICENOW INC,3070,2441,470.29K,373.94K,+388.1%,0.01%
29357K103,ENVA,ENOVA INTERNATI,2149,2149,337.82K,337.82K,NEW,0.01%
874054109,TTWO,TAKE TWO INTERACTIVE SOFTWARE,8481,1163,2.17M,297.76K,+15.9%,0.07%
G3934V109,GENI,GENIUS SPORTS LIMITED,87417,26743,963.34K,294.71K,+44.1%,0.03%
05605H100,BWXT,BWX TECHNOLOGIES INC,6667,1588,1.15M,274.47K,+31.3%,0.04%
30069T101,EE,EXCELERATE ENERGY INC,318018,9149,8.92M,256.63K,+3%,0.27%
