CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,76616568,7970988,822.1M,85.53M,+11.6%,32.4%
722304102,PDD,PDD HOLDINGS INC,6782955,614234,769.12M,69.65M,+10%,30.3%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,10105965,759464,556.13M,41.79M,+8.1%,21.9%
48581R205,KSPI,KASPI KZ JSC,112388,112388,8.78M,8.78M,NEW,0.35%
04965M106,ATAT,ATOUR LIFESTYLE HOLDINGS LTD,5811104,142282,228.96M,5.61M,+2.5%,9%
65487X102,NOAH,NOAH HLDGS LTD,392527,217199,3.94M,2.18M,+123.9%,0.16%
74969N103,RLX,RLX TECHNOLOGY INC,62864424,0,146.47M,0,NO CHANGE,5.8%
00851L103,API,AGORA INC,9900,0,40.29K,0,NO CHANGE,<.01%
00246W103,AXTI,AXT INC,0,-1730156,0,-7.77M,CLOSE,0%
Total,,,,,2.54B,205.77M,+7.9%,100%
