CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,SERVICENOW INC,36000,30800,5.51M,4.72M,+592.3%,2.7%
594918104,MSFT,MICROSOFT CORP,24650,6250,11.92M,3.02M,+34%,5.8%
682189105,ON,ON SEMICONDUCTOR CORP,47100,45400,2.55M,2.46M,+2670.6%,1.2%
67066G104,NVDA,NVIDIA CORPORATION,54800,7300,10.22M,1.36M,+15.4%,5%
882508104,TXN,TEXAS INSTRS INC,23500,7500,4.08M,1.3M,+46.9%,2%
888787108,TOST,TOAST INC,73000,34000,2.59M,1.21M,+87.2%,1.3%
023135106,AMZN,AMAZON COM INC,27700,5000,6.39M,1.15M,+22%,3.1%
101137107,BSX,BOSTON SCIENTIFIC CORP,22000,12000,2.1M,1.14M,+120%,1%
11135F101,AVGO,BROADCOM INC,3300,3300,1.14M,1.14M,NEW,0.56%
443573100,HUBS,HUBSPOT INC,11800,2800,4.74M,1.12M,+31.1%,2.3%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,61400,16000,3.91M,1.02M,+35.2%,1.9%
M7S64H106,MNDY,MONDAY COM LTD,18500,5500,2.73M,811.58K,+42.3%,1.3%
92826C839,V,VISA INC,2800,2300,981.99K,806.63K,+460%,0.48%
74276L105,PRCT,PROCEPT BIOROBOTICS CORP,50000,24000,1.57M,755.04K,+92.3%,0.77%
64110L106,NFLX,NETFLIX INC,7800,7070,731.33K,662.88K,+968.5%,0.36%
697435105,PANW,PALO ALTO NETWORKS INC,19800,2200,3.65M,405.24K,+12.5%,1.8%
46120E602,ISRG,INTUITIVE SURGICAL INC,6400,600,3.62M,339.82K,+10.3%,1.8%
747525103,QCOM,QUALCOMM INC,3200,1800,547.36K,307.89K,+128.6%,0.27%
243537107,DECK,DECKERS OUTDOOR CORP,9400,2750,974.5K,285.09K,+41.4%,0.47%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,30100,7600,1.11M,281.2K,+33.8%,0.54%
654106103,NKE,NIKE INC,25714,4254,1.64M,271.02K,+19.8%,0.8%
00724F101,ADBE,ADOBE INC,18266,750,6.39M,262.49K,+4.3%,3.1%
58933Y105,MRK,MERCK & CO INC,17000,2200,1.79M,231.57K,+14.9%,0.87%
G1151C101,ACN,ACCENTURE PLC IRELAND,5550,850,1.49M,228.06K,+18.1%,0.72%
254687106,DIS,DISNEY WALT CO,14500,1900,1.65M,216.16K,+15.1%,0.8%
458140100,INTC,INTEL CORP,26000,4800,959.4K,177.12K,+22.6%,0.47%
453204109,PI,IMPINJ INC,11000,1000,1.91M,174.01K,+10%,0.93%
23331A109,DHI,D R HORTON INC,3000,1200,432.09K,172.84K,+66.7%,0.21%
125523100,CI,THE CIGNA GROUP,4350,600,1.2M,165.14K,+16%,0.58%
00206R102,T,AT&T INC,22500,6500,558.9K,161.46K,+40.6%,0.27%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,1000,700,217.06K,151.94K,+233.3%,0.11%
911312106,UPS,UNITED PARCEL SERVICE INC,3000,1500,297.57K,148.78K,+100%,0.14%
674599105,OXY,OCCIDENTAL PETE CORP,21500,3300,884.08K,135.7K,+18.1%,0.43%
911363109,URI,UNITED RENTALS INC,400,150,323.73K,121.4K,+60%,0.16%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,5000,2700,216.5K,116.91K,+117.4%,0.11%
26875P101,EOG,EOG RES INC,3300,1050,346.53K,110.26K,+46.7%,0.17%
438516106,HON,HONEYWELL INTL INC,7000,500,1.37M,97.55K,+7.7%,0.66%
59156R108,MET,METLIFE INC,3300,1200,260.5K,94.73K,+57.1%,0.13%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,7900,200,3.7M,93.75K,+2.6%,1.8%
501044101,KR,KROGER CO,6000,1500,374.88K,93.72K,+33.3%,0.18%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,7000,1700,377.58K,91.7K,+32.1%,0.18%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,12000,3800,288.24K,91.28K,+46.3%,0.14%
20825C104,COP,CONOCOPHILLIPS,3200,950,299.55K,88.93K,+42.2%,0.15%
717081103,PFE,PFIZER INC,56500,3500,1.41M,87.15K,+6.6%,0.68%
060505104,BAC,BANK AMERICA CORP,40500,1500,2.23M,82.5K,+3.8%,1.1%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,1625,1625,78.94K,78.94K,NEW,0.04%
37940X102,GPN,GLOBAL PMTS INC,8400,1000,650.16K,77.4K,+13.5%,0.32%
125269100,CF,CF INDS HLDGS INC,14000,1000,1.08M,77.34K,+7.7%,0.53%
337738108,FISV,FISERV INC,5200,1100,349.28K,73.89K,+26.8%,0.17%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,1100,200,385.61K,70.11K,+22.2%,0.19%
127097103,CTRA,COTERRA ENERGY INC,15000,2500,394.8K,65.8K,+20%,0.19%
693718108,PCAR,PACCAR INC,3100,600,339.48K,65.71K,+24%,0.17%
91913Y100,VLO,VALERO ENERGY CORP,2300,400,374.42K,65.12K,+21.1%,0.18%
25809K105,DASH,DOORDASH INC,800,250,181.18K,56.62K,+45.5%,0.09%
60871R209,TAP,MOLSON COORS BEVERAGE CO,5500,1200,256.74K,56.02K,+27.9%,0.12%
30303M102,META,META PLATFORMS INC,4110,80,2.71M,52.81K,+2%,1.3%
58733R102,MELI,MERCADOLIBRE INC,145,25,292.07K,50.36K,+20.8%,0.14%
902494103,TSN,TYSON FOODS INC,3000,800,175.86K,46.9K,+36.4%,0.09%
76156B107,RVLV,REVOLVE GROUP INC,4500,1500,135.85K,45.28K,+50%,0.07%
87043Q108,SG,SWEETGREEN INC,10800,6200,73.01K,41.91K,+134.8%,0.04%
256677105,DG,DOLLAR GEN CORP NEW,7000,300,929.39K,39.83K,+4.5%,0.45%
29786A106,ETSY,ETSY INC,4300,700,238.39K,38.81K,+19.4%,0.12%
26856L103,ELF,E L F BEAUTY INC,1750,500,133.07K,38.02K,+40%,0.06%
016255101,ALGN,ALIGN TECHNOLOGY INC,925,225,144.44K,35.13K,+32.1%,0.07%
N3167Y103,RACE,FERRARI N V,430,90,160.83K,33.66K,+26.5%,0.08%
31620M106,FIS,FIDELITY NATL INFORMATION SV,1500,500,99.69K,33.23K,+50%,0.05%
252131107,DXCM,DEXCOM INC,2000,500,132.74K,33.19K,+33.3%,0.06%
15118V207,CELH,CELSIUS HLDGS INC,4400,700,201.26K,32.02K,+18.9%,0.1%
406216101,HAL,HALLIBURTON CO,10000,1000,282.6K,28.26K,+11.1%,0.14%
026874784,AIG,AMERICAN INTL GROUP INC,2000,300,171.1K,25.66K,+17.6%,0.08%
244199105,DE,DEERE & CO,3000,50,1.4M,23.28K,+1.7%,0.68%
26603R106,DUOL,DUOLINGO INC,350,130,61.42K,22.82K,+59.1%,0.03%
526057104,LEN,LENNAR CORP,2000,200,205.6K,20.56K,+11.1%,0.1%
19260Q107,COIN,COINBASE GLOBAL INC,820,75,185.44K,16.96K,+10.1%,0.09%
57667L107,MTCH,MATCH GROUP INC NEW,6000,500,193.74K,16.14K,+9.1%,0.09%
12504L109,CBRE,CBRE GROUP INC,9500,100,1.53M,16.08K,+1.1%,0.74%
962166104,WY,WEYERHAEUSER CO MTN BE,7000,500,165.83K,11.85K,+7.7%,0.08%
98978V103,ZTS,ZOETIS INC,520,90,65.43K,11.32K,+20.9%,0.03%
90353T100,UBER,UBER TECHNOLOGIES INC,2550,100,208.36K,8.17K,+4.1%,0.1%
88160R101,TSLA,TESLA INC,9200,0,4.14M,0,NO CHANGE,2%
57636Q104,MA,MASTERCARD INCORPORATED,3000,0,1.71M,0,NO CHANGE,0.83%
18915M107,NET,CLOUDFLARE INC,8500,0,1.68M,0,NO CHANGE,0.82%
025816109,AXP,AMERICAN EXPRESS CO,4500,0,1.66M,0,NO CHANGE,0.81%
090043100,BILL,BILL HOLDINGS INC,29000,0,1.58M,0,NO CHANGE,0.77%
338307101,FIVN,FIVE9 INC,74000,0,1.48M,0,NO CHANGE,0.72%
191216100,KO,COCA COLA CO,20000,0,1.4M,0,NO CHANGE,0.68%
79466L302,CRM,SALESFORCE INC,4650,0,1.23M,0,NO CHANGE,0.6%
235851102,DHR,DANAHER CORPORATION,5000,0,1.14M,0,NO CHANGE,0.56%
75886F107,REGN,REGENERON PHARMACEUTICALS,1400,0,1.08M,0,NO CHANGE,0.53%
857477103,STT,STATE STR CORP,8200,0,1.06M,0,NO CHANGE,0.51%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,2100,0,952.06K,0,NO CHANGE,0.46%
17275R102,CSCO,CISCO SYS INC,12000,0,924.36K,0,NO CHANGE,0.45%
37045V100,GM,GENERAL MTRS CO,10500,0,853.86K,0,NO CHANGE,0.42%
500754106,KHC,KRAFT HEINZ CO,33800,0,819.65K,0,NO CHANGE,0.4%
855244109,SBUX,STARBUCKS CORP,9000,0,757.89K,0,NO CHANGE,0.37%
70450Y103,PYPL,PAYPAL HLDGS INC,11000,0,642.18K,0,NO CHANGE,0.31%
G5960L103,MDT,MEDTRONIC PLC,5000,0,480.3K,0,NO CHANGE,0.23%
949746101,WFC,WELLS FARGO CO NEW,4800,0,447.36K,0,NO CHANGE,0.22%
31428X106,FDX,FEDEX CORP,1500,0,433.29K,0,NO CHANGE,0.21%
345370860,F,FORD MTR CO,32000,0,419.84K,0,NO CHANGE,0.2%
126650100,CVS,CVS HEALTH CORP,4000,0,317.44K,0,NO CHANGE,0.15%
231021106,CMI,CUMMINS INC,450,0,229.7K,0,NO CHANGE,0.11%
064058100,BK,BANK NEW YORK MELLON CORP,1600,0,185.74K,0,NO CHANGE,0.09%
009066101,ABNB,AIRBNB INC,1250,0,169.65K,0,NO CHANGE,0.08%
550021109,LULU,LULULEMON ATHLETICA INC,700,0,145.47K,0,NO CHANGE,0.07%
375558103,GILD,GILEAD SCIENCES INC,1000,0,122.74K,0,NO CHANGE,0.06%
