CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
79466L302,CRM,SALESFORCE COM INC,73009,10000,19.34M,2.65M,+15.9%,3.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,58318,10000,12.49M,2.14M,+20.7%,2.5%
74743L100,Q,QNITY ELECTRONICS INC,2332,2332,190K,190K,NEW,0.04%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,3525,3525,171K,171K,NEW,0.03%
67066G104,NVDA,NVIDIA CORP,246210,0,45.92M,0,NO CHANGE,9.2%
023135106,AMZN,AMAZON COM INC,96793,0,22.34M,0,NO CHANGE,4.5%
037833100,AAPL,APPLE INC,81169,0,22.07M,0,NO CHANGE,4.4%
594918104,MSFT,MICROSOFT CORP,34302,0,16.59M,0,NO CHANGE,3.3%
30303M102,META,FACEBOOK INC,22500,0,14.85M,0,NO CHANGE,3%
02079K107,GOOG,ALPHABET INC,46055,0,14.45M,0,NO CHANGE,2.9%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,26500,0,13.32M,0,NO CHANGE,2.7%
369604301,GE,GENERAL ELECTRIC CO,38301,0,11.8M,0,NO CHANGE,2.4%
46625H100,JPM,JPMORGAN CHASE & CO,35296,0,11.37M,0,NO CHANGE,2.3%
82509L107,SHOP,SHOPIFY INC,70000,0,11.27M,0,NO CHANGE,2.2%
87165B103,SYF,SYNCHRONY FINL,132073,0,11.02M,0,NO CHANGE,2.2%
02079K305,GOOGL,ALPHABET INC,31140,0,9.75M,0,NO CHANGE,1.9%
949746101,WFC,WELLS FARGO CO NEW,88052,0,8.21M,0,NO CHANGE,1.6%
30231G102,XOM,EXXON MOBIL CORP,62066,0,7.47M,0,NO CHANGE,1.5%
931142103,WMT,WALMART INC,65550,0,7.3M,0,NO CHANGE,1.5%
68389X105,ORCL,ORACLE CORP,37250,0,7.26M,0,NO CHANGE,1.4%
172967424,C,CITIGROUP INC,61471,0,7.17M,0,NO CHANGE,1.4%
674599105,OXY,OCCIDENTAL PETE CORP DEL,171429,0,7.05M,0,NO CHANGE,1.4%
38141G104,GS,GOLDMAN SACHS GROUP INC,8000,0,7.03M,0,NO CHANGE,1.4%
57636Q104,MA,MASTERCARD INCORPORATED,11829,0,6.75M,0,NO CHANGE,1.3%
G491BT108,IVZ,INVESCO LTD,255393,0,6.71M,0,NO CHANGE,1.3%
00287Y109,ABBV,ABBVIE INC,27900,0,6.38M,0,NO CHANGE,1.3%
36828A101,GEV,GE VERNOVA INC,9575,0,6.26M,0,NO CHANGE,1.2%
92826C839,V,VISA INC,17375,0,6.09M,0,NO CHANGE,1.2%
478160104,JNJ,JOHNSON & JOHNSON,28900,0,5.98M,0,NO CHANGE,1.2%
595112103,MU,MICRON TECHNOLOGY INC,19800,0,5.65M,0,NO CHANGE,1.1%
724479100,PBI,PITNEY BOWES INC,511059,0,5.4M,0,NO CHANGE,1.1%
617446448,MS,MORGAN STANLEY,30000,0,5.33M,0,NO CHANGE,1.1%
345370860,F,FORD MTR CO DEL,345157,0,4.53M,0,NO CHANGE,0.9%
149123101,CAT,CATERPILLAR INC DEL,7800,0,4.47M,0,NO CHANGE,0.89%
031162100,AMGN,AMGEN INC,13609,0,4.45M,0,NO CHANGE,0.89%
22160K105,COST,COSTCO WHSL CORP NEW,5016,0,4.33M,0,NO CHANGE,0.86%
320517105,FHN,FIRST HORIZON NATL CORP,180082,0,4.3M,0,NO CHANGE,0.86%
254687106,DIS,DISNEY WALT CO,36407,0,4.14M,0,NO CHANGE,0.83%
025816109,AXP,AMERICAN EXPRESS CO,11000,0,4.07M,0,NO CHANGE,0.81%
872540109,TJX,TJX COS INC NEW,26000,0,3.99M,0,NO CHANGE,0.8%
20825C104,COP,CONOCOPHILLIPS,41281,0,3.86M,0,NO CHANGE,0.77%
548661107,LOW,LOWES COS INC,15320,0,3.69M,0,NO CHANGE,0.74%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,11900,0,3.52M,0,NO CHANGE,0.7%
166764100,CVX,CHEVRON CORP NEW,22200,0,3.38M,0,NO CHANGE,0.67%
354613101,BEN,FRANKLIN RES INC,140480,0,3.36M,0,NO CHANGE,0.67%
88160R101,TSLA,TESLA INC,6782,0,3.05M,0,NO CHANGE,0.61%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,5000,0,2.9M,0,NO CHANGE,0.58%
020002101,ALL,ALLSTATE CORP,13800,0,2.87M,0,NO CHANGE,0.57%
171779309,CIEN,CIENA CORP,12255,0,2.87M,0,NO CHANGE,0.57%
717081103,PFE,PFIZER INC,111527,0,2.78M,0,NO CHANGE,0.55%
438516106,HON,HONEYWELL INTL INC,14100,0,2.75M,0,NO CHANGE,0.55%
244199105,DE,DEERE & CO,5900,0,2.75M,0,NO CHANGE,0.55%
92343V104,VZ,VERIZON COMMUNICATIONS INC,67263,0,2.74M,0,NO CHANGE,0.55%
723484101,PNW,PINNACLE WEST CAP CORP,30000,0,2.66M,0,NO CHANGE,0.53%
20030N101,CMCSA,COMCAST CORP NEW,88000,0,2.63M,0,NO CHANGE,0.52%
191216100,KO,COCA COLA CO,37000,0,2.59M,0,NO CHANGE,0.52%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,10000,0,2.57M,0,NO CHANGE,0.51%
458140100,INTC,INTEL CORP,66395,0,2.45M,0,NO CHANGE,0.49%
002824100,ABT,ABBOTT LABS,19400,0,2.43M,0,NO CHANGE,0.48%
58933Y105,MRK,MERCK & CO INC,22900,0,2.41M,0,NO CHANGE,0.48%
00206R102,T,AT&T INC,93689,0,2.33M,0,NO CHANGE,0.46%
001055102,AFL,AFLAC INC,20600,0,2.27M,0,NO CHANGE,0.45%
701094104,PH,PARKER HANNIFIN CORP,2500,0,2.2M,0,NO CHANGE,0.44%
064058100,BK,BANK NEW YORK MELLON CORP,18872,0,2.19M,0,NO CHANGE,0.44%
693475105,PNC,PNC FINL SVCS GROUP INC,10000,0,2.09M,0,NO CHANGE,0.42%
17275R102,CSCO,CISCO SYS INC,26540,0,2.04M,0,NO CHANGE,0.41%
89417E109,TRV,TRAVELERS COMPANIES INC,7000,0,2.03M,0,NO CHANGE,0.4%
91324P102,UNH,UNITED HEALTH GROUP INC,5918,0,1.95M,0,NO CHANGE,0.39%
550241103,LUMN,LUMEN TECHNOLOGIES INC,250000,0,1.94M,0,NO CHANGE,0.39%
110122108,BMY,BRISTOL MYERS SQUIBB CO,35899,0,1.94M,0,NO CHANGE,0.39%
097023105,BA,BOEING CO,8735,0,1.9M,0,NO CHANGE,0.38%
713448108,PEP,PEPSICO INC,13000,0,1.87M,0,NO CHANGE,0.37%
75513E101,RTX,RAYTHEON TECHNOLOGIES CORP,10000,0,1.83M,0,NO CHANGE,0.37%
855244109,SBUX,STARBUCKS CORP,21000,0,1.77M,0,NO CHANGE,0.35%
026874784,AIG,AMERICAN INTL GROUP INC,19100,0,1.63M,0,NO CHANGE,0.33%
88579Y101,MMM,3M CO,9750,0,1.56M,0,NO CHANGE,0.31%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,19012,0,1.56M,0,NO CHANGE,0.31%
744320102,PRU,PRUDENTIAL FINL INC,13500,0,1.52M,0,NO CHANGE,0.3%
882508104,TXN,TEXAS INSTRS INC,8000,0,1.39M,0,NO CHANGE,0.28%
74460D109,PSA,PUBLIC STORAGE,5000,0,1.3M,0,NO CHANGE,0.26%
828806109,SPG,SIMON PPTY GROUP INC NEW,7000,0,1.3M,0,NO CHANGE,0.26%
98980L101,ZM,ZOOM VIDEO COMMUNICATIONS IN,15000,0,1.29M,0,NO CHANGE,0.26%
59156R108,MET,METLIFE INC,15000,0,1.18M,0,NO CHANGE,0.24%
911312106,UPS,UNITED PARCEL SERVICE INC,11800,0,1.17M,0,NO CHANGE,0.23%
743315103,PGR,PROGRESSIVE CORP OHIO,5000,0,1.14M,0,NO CHANGE,0.23%
375558103,GILD,GILEAD SCIENCES INC,9000,0,1.1M,0,NO CHANGE,0.22%
032654105,ADI,ANALOG DEVICES INC,4000,0,1.08M,0,NO CHANGE,0.22%
