CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,NETFLIX INC,30472,27268,2.86M,2.56M,+851.1%,0.78%
46090E103,QQQ,INVESCO QQQ TR,31244,2752,19.19M,1.69M,+9.7%,5.3%
81369Y886,XLU,SELECT SECTOR SPDR TR,45464,23503,1.94M,1M,+107%,0.53%
02079K107,GOOG,ALPHABET INC,30654,2578,9.62M,808.98K,+9.2%,2.6%
922908744,VTV,VANGUARD INDEX FDS,32668,3782,6.24M,722.32K,+13.1%,1.7%
464287549,IGM,ISHARES TR,7230,4302,933.81K,555.64K,+146.9%,0.26%
921937835,BND,VANGUARD BD INDEX FDS,16729,6141,1.24M,454.87K,+58%,0.34%
36242H104,GDV,GABELLI DIVID & INCOME TR,16300,16300,452.65K,452.65K,NEW,0.12%
922908769,VTI,VANGUARD INDEX FDS,6895,1346,2.31M,451.23K,+24.3%,0.63%
75513E101,RTX,RTX CORPORATION,9465,2402,1.74M,440.49K,+34%,0.48%
74347R107,SSO,PROSHARES TR,14400,7200,834.05K,417.02K,+100%,0.23%
46625H100,JPM,JPMORGAN CHASE & CO.,16491,1164,5.31M,375.06K,+7.6%,1.5%
921946406,VYM,VANGUARD WHITEHALL FDS,92797,2300,13.32M,330.1K,+2.5%,3.7%
00214Q807,ARKX,ARK ETF TR,10653,10653,308.72K,308.72K,NEW,0.08%
617446448,MS,MORGAN STANLEY,5835,1657,1.04M,294.15K,+39.7%,0.28%
464287523,SOXX,ISHARES TR,6972,958,2.1M,288.5K,+15.9%,0.58%
922908736,VUG,VANGUARD INDEX FDS,11343,557,5.53M,271.74K,+5.2%,1.5%
931142103,WMT,WALMART INC,33417,2397,3.72M,267.05K,+7.7%,1%
09260D107,BX,BLACKSTONE INC,20924,1616,3.23M,249.09K,+8.4%,0.88%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,15181,498,7.12M,233.44K,+3.4%,2%
74347R206,QLD,PROSHARES TR,6400,3200,450.62K,225.31K,+100%,0.12%
315912808,ONEQ,FIDELITY COMWLTH TR,10436,2447,953.83K,223.65K,+30.6%,0.26%
85208R101,CEF,SPROTT ASSET MANAGEMENT LP,4800,4800,219.84K,219.84K,NEW,0.06%
369604301,GE,GE AEROSPACE,1631,698,502.5K,215.05K,+74.8%,0.14%
81369Y506,XLE,SELECT SECTOR SPDR TR,9450,4716,422.52K,210.86K,+99.6%,0.12%
92206C870,VCIT,VANGUARD SCOTTSDALE FDS,14631,2424,1.22M,202.29K,+19.9%,0.33%
91324P102,UNH,UNITEDHEALTH GROUP INC,3378,556,1.12M,183.57K,+19.7%,0.31%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,4103,381,1.97M,183.12K,+10.2%,0.54%
78462F103,SPY,SPDR S&P 500 ETF TR,23842,258,16.26M,175.93K,+1.1%,4.5%
00287Y109,ABBV,ABBVIE INC,18724,758,4.28M,173.19K,+4.2%,1.2%
147528103,CASY,CASEYS GEN STORES INC,1947,306,1.08M,169.13K,+18.6%,0.3%
58155Q103,MCK,MCKESSON CORP,456,191,374.38K,156.81K,+72.1%,0.1%
88160R101,TSLA,TESLA INC,9433,345,4.24M,155.15K,+3.8%,1.2%
