CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
H5919C104,ONON,ON HLDG AG,230000,230000,10.69M,10.69M,NEW,7.8%
093712107,BE,BLOOM ENERGY CORP,83000,83000,7.21M,7.21M,NEW,5.2%
55024U109,LITE,LUMENTUM HLDGS INC,16000,16000,5.9M,5.9M,NEW,4.3%
958102105,WDC,WESTERN DIGITAL CORP,51000,34000,8.79M,5.86M,+200%,6.4%
87305R109,TTMI,TTM TECHNOLOGIES INC,75000,75000,5.17M,5.17M,NEW,3.8%
15101Q207,CLS,CELESTICA INC,16000,16000,4.73M,4.73M,NEW,3.4%
595112103,MU,MICRON TECHNOLOGY INC,123000,-5000,35.11M,-1.43M,-3.9%,25.5%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,176000,-12000,25.32M,-1.73M,-6.4%,18.4%
67066G104,NVDA,NVIDIA CORPORATION,32100,-10100,5.99M,-1.88M,-23.9%,4.4%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,0,-30000,0,-6.83M,CLOSE,0%
24703L202,DELL,DELL TECHNOLOGIES INC,0,-60000,0,-8.51M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,63700,-72600,22.05M,-25.13M,-53.3%,16%
04626A103,ALAB,ASTERA LABS INC,38802,-179310,6.46M,-29.83M,-82.2%,4.7%
Total,,,,,137.41M,-35.77M,-22.1%,100%
