CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
315616102,FFIV,F5 INC,2271013,2271013,579.7M,579.7M,NEW,6.6%
67066G104,NVDA,NVIDIA CORPORATION,5063012,2444000,944.25M,455.81M,+93.3%,10.8%
64110L106,NFLX,NETFLIX INC,4332000,4093000,406.17M,383.76M,+1712.6%,4.6%
833445109,SNOW,SNOWFLAKE INC,1575580,1575580,345.62M,345.62M,NEW,3.9%
35137L105,FOXA,FOX CORP,2973000,2973000,217.24M,217.24M,NEW,2.5%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,3996512,1099350,569.5M,156.66M,+37.9%,6.5%
20717M103,CFLT,CONFLUENT INC,11094000,2828000,335.48M,85.52M,+34.2%,3.8%
H8088L103,SRAD,SPORTRADAR GROUP AG,3160174,3160174,75.12M,75.12M,NEW,0.86%
531229755,FWONK,LIBERTY MEDIA CORP DEL,4542396,688000,447.47M,67.77M,+17.8%,5.1%
53626N102,LION,LIONSGATE STUDIOS CORP,5599000,5599000,51.12M,51.12M,NEW,0.58%
558256103,MSGE,MADISON SQUARE GARDEN ENTMT,3662724,777000,197.38M,41.87M,+26.9%,2.2%
67059N108,NTNX,NUTANIX INC,3107481,666000,160.63M,34.43M,+27.3%,1.8%
G037AX101,AMBA,AMBARELLA INC,1587081,373734,112.43M,26.48M,+30.8%,1.3%
91680M107,UPST,UPSTART HLDGS INC,5011809,531000,219.17M,23.22M,+11.9%,2.5%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,13038619,1338796,189.84M,19.49M,+11.4%,2.2%
00827B106,AFRM,AFFIRM HLDGS INC,3601248,251000,268.04M,18.68M,+7.5%,3.1%
03831W108,APP,APPLOVIN CORP,2095319,0,1.41B,0,NO CHANGE,16.1%
256163106,DOCU,DOCUSIGN INC,4754753,0,325.23M,0,NO CHANGE,3.7%
911684108,AD,ARRAY DIGITAL INFRASTRUCTURE,1815844,0,97.37M,0,NO CHANGE,1.1%
98980F104,GTM,ZOOMINFO TECHNOLOGIES INC,8793670,0,89.43M,0,NO CHANGE,1%
86384P109,STUB,STUBHUB HLDGS INC,0,-75000,0,-1.26M,CLOSE,0%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,2605615,-100000,247.74M,-9.51M,-3.7%,2.8%
83001C108,FUN,SIX FLAGS ENTERTAINMENT CORP,0,-2616300,0,-59.44M,CLOSE,0%
171779309,CIEN,CIENA CORP,1656172,-326828,387.33M,-76.44M,-16.5%,4.4%
30303M102,META,META PLATFORMS INC,397858,-124000,262.62M,-81.85M,-23.8%,3%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,0,-621000,0,-90.42M,CLOSE,0%
60937P106,MDB,MONGODB INC,996540,-382000,418.24M,-160.32M,-27.7%,4.8%
90138F102,TWLO,TWILIO INC,0,-1970978,0,-197.28M,CLOSE,0%
88339J105,TTD,THE TRADE DESK INC,0,-4067000,0,-199.32M,CLOSE,0%
461202103,INTU,INTUIT,0,-391000,0,-267.02M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,0,-3150000,0,-308.61M,CLOSE,0%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,0,-16974768,0,-416.9M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,1336000,-1348000,418.17M,-421.92M,-50.2%,4.8%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-4607497,0,-517.28M,CLOSE,0%
934423104,WBD,WARNER BROS DISCOVERY INC,0,-35095390,0,-685.41M,CLOSE,0%
Total,,,,,8.78B,-910.51M,-9.5%,100%
