CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,SERVICENOW INC,41575,33420,6.37M,5.12M,+409.8%,2%
36828A101,GEV,GE VERNOVA INC,500,500,326.79K,326.79K,NEW,0.1%
22160K105,COST,COSTCO WHSL CORP NEW,3850,250,3.32M,215.59K,+6.9%,1%
G8994E103,TT,TRANE TECHNOLOGIES PLC,8400,400,3.27M,155.68K,+5%,1%
67066G104,NVDA,NVIDIA CORPORATION,538700,800,100.47M,149.2K,+0.1%,31.6%
594918104,MSFT,MICROSOFT CORP,20425,300,9.88M,145.09K,+1.5%,3.1%
037833100,AAPL,APPLE INC,39700,475,10.79M,129.13K,+1.2%,3.4%
58933Y105,MRK,MERCK & CO INC,10100,1100,1.06M,115.79K,+12.2%,0.33%
532457108,LLY,ELI LILLY & CO,1100,100,1.18M,107.47K,+10%,0.37%
478160104,JNJ,JOHNSON & JOHNSON,11850,450,2.45M,93.13K,+3.9%,0.77%
92826C839,V,VISA INC,13150,250,4.61M,87.68K,+1.9%,1.4%
11135F101,AVGO,BROADCOM INC,18250,250,6.32M,86.53K,+1.4%,2%
437076102,HD,HOME DEPOT INC,9250,250,3.18M,86.03K,+2.8%,1%
697435105,PANW,PALO ALTO NETWORKS INC,27100,450,4.99M,82.89K,+1.7%,1.6%
G29183103,ETN,EATON CORP PLC,13460,260,4.29M,82.81K,+2%,1.3%
02079K305,GOOGL,ALPHABET INC,71250,250,22.3M,78.25K,+0.4%,7%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,19100,150,8.95M,70.31K,+0.8%,2.8%
023135106,AMZN,AMAZON.COM INC,42650,250,9.84M,57.7K,+0.6%,3.1%
57636Q104,MA,MASTERCARD INCORPORATED,9575,100,5.47M,57.09K,+1.1%,1.7%
931142103,WMT,WALMART INC,1300,500,144.83K,55.7K,+62.5%,0.05%
231021106,CMI,CUMMINS INC,18550,100,9.47M,51.05K,+0.5%,3%
91324P102,UNH,UNITEDHEALTH GROUP INC,14950,150,4.94M,49.52K,+1%,1.6%
30303M102,META,META PLATFORMS INC,17600,75,11.62M,49.51K,+0.4%,3.7%
31428X106,FDX,FEDEX CORP,16950,100,4.9M,28.89K,+0.6%,1.5%
125523100,CI,THE CIGNA GROUP,9800,50,2.7M,13.76K,+0.5%,0.85%
88160R101,TSLA,TESLA INC,11600,0,5.22M,0,NO CHANGE,1.6%
922908751,VB,VANGUARD INDEX FDS,18100,0,4.67M,0,NO CHANGE,1.5%
166764100,CVX,CHEVRON CORP NEW,27100,0,4.13M,0,NO CHANGE,1.3%
291011104,EMR,EMERSON ELEC CO,27500,0,3.65M,0,NO CHANGE,1.1%
90384S303,ULTA,ULTA BEAUTY INC,5450,0,3.3M,0,NO CHANGE,1%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,3500,0,2.03M,0,NO CHANGE,0.64%
921909768,VXUS,VANGUARD STAR FDS,25150,0,1.9M,0,NO CHANGE,0.6%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,50000,0,1.85M,0,NO CHANGE,0.58%
172967424,C,CITIGROUP INC,2500,0,291.73K,0,NO CHANGE,0.09%
922908736,VUG,VANGUARD INDEX FDS,443,0,216.12K,0,NO CHANGE,0.07%
47012E403,JAKK,JAKKS PAC INC,7600,0,128.29K,0,NO CHANGE,0.04%
922908363,VOO,VANGUARD INDEX FDS,110,0,68.98K,0,NO CHANGE,0.02%
244199105,DE,DEERE & CO,100,0,46.56K,0,NO CHANGE,0.01%
58155Q103,MCK,MCKESSON CORP,50,0,41.02K,0,NO CHANGE,0.01%
78468R788,SPYD,SPDR SERIES TRUST,250,0,10.81K,0,NO CHANGE,<.01%
02079K107,GOOG,ALPHABET INC,225,-25,70.61K,-7.84K,-10%,0.02%
38141G104,GS,GOLDMAN SACHS GROUP INC,11040,-10,9.7M,-8.79K,-0.1%,3.1%
855244109,SBUX,STARBUCKS CORP,18975,-125,1.6M,-10.53K,-0.7%,0.5%
700517105,PK,PARK HOTELS & RESORTS INC,0,-1200,0,-13.3K,CLOSE,0%
747525103,QCOM,QUALCOMM INC,16700,-100,2.86M,-17.11K,-0.6%,0.9%
670100205,NVO,NOVO-NORDISK A S,108350,-350,5.51M,-17.81K,-0.3%,1.7%
922908744,VTV,VANGUARD INDEX FDS,671,-147,128.15K,-28.08K,-18%,0.04%
26142V105,DKNG,DRAFTKINGS INC NEW,0,-800,0,-29.92K,CLOSE,0%
26441C204,DUK,DUKE ENERGY CORP NEW,0,-250,0,-30.94K,CLOSE,0%
654106103,NKE,NIKE INC,4200,-500,267.58K,-31.86K,-10.6%,0.08%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,12850,-150,3.81M,-44.43K,-1.2%,1.2%
00287Y109,ABBV,ABBVIE INC,45650,-200,10.43M,-45.7K,-0.4%,3.3%
718546104,PSX,PHILLIPS 66,0,-350,0,-47.61K,CLOSE,0%
254687106,DIS,DISNEY WALT CO,42300,-600,4.81M,-68.26K,-1.4%,1.5%
007903107,AMD,ADVANCED MICRO DEVICES INC,35525,-625,7.61M,-133.85K,-1.7%,2.4%
717081103,PFE,PFIZER INC,35800,-8700,891.42K,-216.63K,-19.6%,0.28%
053484101,AVB,AVALONBAY CMNTYS INC,0,-10500,0,-2.03M,CLOSE,0%
Total,,,,,318.07M,4.71M,+1.5%,100%
