CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC,129837,40624,85.7M,26.82M,+45.5%,9.6%
G3643J108,FLUT,FLUTTER ENTMT PLC,241260,103092,51.88M,22.17M,+74.6%,5.8%
097023105,BA,BOEING CO,210597,71019,45.72M,15.42M,+50.9%,5.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG,42231,42231,12.83M,12.83M,NEW,1.4%
79466L302,CRM,SALESFORCE INC,38023,38023,10.07M,10.07M,NEW,1.1%
907818108,UNP,UNION PAC CORP,42239,37805,9.77M,8.75M,+852.6%,1.1%
767292105,RIOT,RIOT PLATFORMS INC,1433286,616112,18.16M,7.81M,+75.4%,2%
64110L106,NFLX,NETFLIX INC,110083,78280,10.32M,7.34M,+246.1%,1.2%
654106103,NKE,NIKE INC,107004,107004,6.82M,6.82M,NEW,0.76%
46120E602,ISRG,INTUITIVE SURGICAL INC,9497,9497,5.38M,5.38M,NEW,0.6%
594918104,MSFT,MICROSOFT CORP,109045,10462,52.74M,5.06M,+10.6%,5.9%
934423104,WBD,WARNER BROS DISCOVERY INC,161599,161599,4.66M,4.66M,NEW,0.52%
14040H105,COF,CAPITAL ONE FINL CORP,119716,18082,29.01M,4.38M,+17.8%,3.3%
254687106,DIS,DISNEY WALT CO,279834,34148,31.84M,3.89M,+13.9%,3.6%
68389X105,ORCL,ORACLE CORP,140516,15789,27.39M,3.08M,+12.7%,3.1%
983134107,WYNN,WYNN RESORTS LTD,266817,13502,32.11M,1.62M,+5.3%,3.6%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,25424,2694,14.76M,1.56M,+11.9%,1.7%
88160R101,TSLA,TESLA INC,5596,3011,2.52M,1.35M,+116.5%,0.28%
807066105,SCHL,SCHOLASTIC CORP,112891,28269,3.34M,837.61K,+33.4%,0.37%
26142V105,DKNG,DRAFTKINGS INC NEW,52522,20240,1.81M,697.47K,+62.7%,0.2%
808513105,SCHW,SCHWAB CHARLES CORP,75795,5795,7.57M,578.98K,+8.3%,0.85%
828806109,SPG,SIMON PPTY GROUP INC NEW,8148,53,1.51M,9.81K,+0.7%,0.17%
573284106,MLM,MARTIN MARIETTA MATLS INC,1970,14,1.23M,8.72K,+0.7%,0.14%
02079K107,GOOG,ALPHABET INC,13199,-18,4.14M,-5.65K,-0.1%,0.46%
G1110E107,BHVN,BIOHAVEN LTD,0,-11787,0,-176.92K,CLOSE,0%
03027X100,AMT,AMERICAN TOWER CORP NEW,0,-2228,0,-428.49K,CLOSE,0%
603170101,MLYS,MINERALYS THERAPEUTICS INC,0,-19465,0,-738.11K,CLOSE,0%
53635D202,LQDA,LIQUIDIA CORPORATION,0,-43756,0,-995.01K,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,15780,-1055,16.88M,-1.13M,-6.3%,1.9%
11135F101,AVGO,BROADCOM INC,8766,-3388,3.03M,-1.17M,-27.9%,0.34%
75513E101,RTX,RTX CORPORATION,222794,-6564,40.86M,-1.2M,-2.9%,4.6%
16935C109,CHYM,CHIME FINL INC,308983,-55138,7.78M,-1.39M,-15.1%,0.87%
042068205,ARM,ARM HOLDINGS PLC,283817,-14315,31.02M,-1.56M,-4.8%,3.5%
047726302,BATRK,ATLANTA BRAVES HLDGS INC,0,-44189,0,-1.84M,CLOSE,0%
98954M101,ZG,ZILLOW GROUP INC,0,-25000,0,-1.86M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,453926,-13083,84.66M,-2.44M,-2.8%,9.5%
44812J104,HUT,HUT 8 CORP,120607,-60354,5.54M,-2.77M,-33.4%,0.62%
023135106,AMZN,AMAZON COM INC,244503,-16767,56.44M,-3.87M,-6.4%,6.3%
02079K305,GOOGL,ALPHABET INC,248967,-14011,77.93M,-4.39M,-5.3%,8.7%
949746101,WFC,WELLS FARGO CO NEW,118683,-54065,11.06M,-5.04M,-31.3%,1.2%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,0,-20000,0,-5.17M,CLOSE,0%
517834107,LVS,LAS VEGAS SANDS CORP,0,-130000,0,-6.99M,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,59109,-12849,38.63M,-8.4M,-17.9%,4.3%
369604301,GE,GE AEROSPACE,40347,-36115,12.43M,-11.12M,-47.2%,1.4%
09260D107,BX,BLACKSTONE INC,0,-66495,0,-11.36M,CLOSE,0%
65249B109,NWSA,NEWS CORP NEW,0,-373952,0,-11.48M,CLOSE,0%
037833100,AAPL,APPLE INC,99588,-44096,27.07M,-11.99M,-30.7%,3%
98980G102,ZS,ZSCALER INC,0,-47325,0,-14.18M,CLOSE,0%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,511205,-1073163,6.85M,-14.38M,-67.7%,0.77%
72352L106,PINS,PINTEREST INC,45225,-641867,1.17M,-16.62M,-93.4%,0.13%
855244109,SBUX,STARBUCKS CORP,0,-204251,0,-17.28M,CLOSE,0%
26603R106,DUOL,DUOLINGO INC,0,-81568,0,-26.25M,CLOSE,0%
Total,,,,,892.64M,-35.1M,-3.6%,100%
