CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,SERVICENOW INC,245366,196085,37.59M,30.04M,+397.9%,3.8%
532457108,LLY,ELI LILLY & CO,22714,22714,24.42M,24.42M,NEW,2.5%
81141R100,SE,SEA LTD,123418,123418,15.75M,15.75M,NEW,1.6%
464288257,ACWI,ISHARES TR,34093,34093,4.82M,4.82M,NEW,0.49%
023135106,AMZN,AMAZON COM INC,299216,5125,69.07M,1.18M,+1.7%,7%
46120E602,ISRG,INTUITIVE SURGICAL INC,70955,1548,40.19M,876.8K,+2.2%,4.1%
79466L302,CRM,SALESFORCE INC,133036,2741,35.24M,726.15K,+2.1%,3.6%
30303M102,META,META PLATFORMS INC,121534,1017,80.23M,671.34K,+0.8%,8.1%
57636Q104,MA,MASTERCARD INCORPORATED,81750,1142,46.67M,651.99K,+1.4%,4.7%
922042742,VT,VANGUARD INTL EQUITY INDEX F,2513,2513,354.63K,354.63K,NEW,0.04%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,306113,4033,25.14M,331.19K,+1.3%,2.5%
N07059210,ASML,ASML HOLDING N V,37763,300,40.41M,321.01K,+0.8%,4.1%
09857L108,BKNG,BOOKING HOLDINGS INC,6169,57,33.07M,305.57K,+0.9%,3.3%
037833100,AAPL,APPLE INC,157467,1076,42.81M,292.53K,+0.7%,4.3%
58733R102,MELI,MERCADOLIBRE INC,25216,135,50.8M,271.99K,+0.5%,5.1%
G6683N103,NU,NU HLDGS LTD,1688819,16110,28.27M,269.68K,+1%,2.9%
863667101,SYK,STRYKER CORPORATION,48135,434,16.92M,152.56K,+0.9%,1.7%
697435105,PANW,PALO ALTO NETWORKS INC,193227,384,35.59M,70.73K,+0.2%,3.6%
90353T100,UBER,UBER TECHNOLOGIES INC,329556,675,26.93M,55.16K,+0.2%,2.7%
464287200,IVV,ISHARES TR,320,1,219.29K,685.3,+0.3%,0.02%
594918104,MSFT,MICROSOFT CORP,448,0,216.77K,0,NO CHANGE,0.02%
40415F101,HDB,HDFC BANK LTD,356320,-200,13.02M,-7.31K,-0.1%,1.3%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,622,-70,312.65K,-35.19K,-10.1%,0.03%
252131107,DXCM,DEXCOM INC,305149,-2598,20.25M,-172.43K,-0.8%,2.1%
02079K305,GOOGL,ALPHABET INC,90430,-1003,28.3M,-313.94K,-1.1%,2.9%
02079K107,GOOG,ALPHABET INC,298314,-5304,93.61M,-1.66M,-1.7%,9.5%
67066G104,NVDA,NVIDIA CORPORATION,951762,-60801,177.5M,-11.34M,-6%,18%
670100205,NVO,NOVO-NORDISK A S,0,-387083,0,-21.48M,CLOSE,0%
Total,,,,,987.72M,46.55M,+4.9%,100%
