CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,561255,561255,271.43M,271.43M,NEW,13.7%
30303M102,META,META PLATFORMS INC,356528,356528,235.34M,235.34M,NEW,11.9%
464287457,SHY,ISHARES TR,1472100,1472100,121.92M,121.92M,NEW,6.1%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,1123000,1123000,92.11M,92.11M,NEW,4.6%
24703L202,DELL,DELL TECHNOLOGIES INC,702669,702669,88.45M,88.45M,NEW,4.5%
464287200,IVV,ISHARES TR,58000,58000,39.73M,39.73M,NEW,2%
19260Q107,COIN,COINBASE GLOBAL INC,150000,150000,33.92M,33.92M,NEW,1.7%
18915M107,NET,CLOUDFLARE INC,160000,160000,31.54M,31.54M,NEW,1.6%
67066G104,NVDA,NVIDIA CORPORATION,182041,159511,33.95M,29.75M,+708%,1.7%
55306N104,MKSI,MKS INC.,175000,175000,27.96M,27.97M,NEW,1.4%
058498106,BALL,BALL CORP,500000,500000,26.48M,26.48M,NEW,1.3%
337932107,FE,FIRSTENERGY CORP,431341,431341,19.31M,19.31M,NEW,0.97%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC D,8010,8010,17.19M,17.19M,NEW,0.87%
416515104,HIG,HARTFORD INSURANCE GROUP INC,120170,120170,16.56M,16.56M,NEW,0.84%
37045V100,GM,GENERAL MTRS CO,153866,153866,12.51M,12.51M,NEW,0.63%
009158106,APD,AIR PRODS & CHEMS INC,43615,43615,10.77M,10.77M,NEW,0.54%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,38067,38067,10.62M,10.62M,NEW,0.54%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,24958,24958,9.92M,9.92M,NEW,0.5%
G6683N103,NU,NU HLDGS LTD,577977,577977,9.68M,9.68M,NEW,0.49%
134429109,CPB,THE CAMPBELLS COMPANY,311834,311834,8.69M,8.69M,NEW,0.44%
758750103,RRX,REGAL REXNORD CORPORATION,61291,61291,8.6M,8.6M,NEW,0.43%
466313103,JBL,JABIL INC,37682,37682,8.59M,8.59M,NEW,0.43%
974155103,WING,WINGSTOP INC,35950,35950,8.57M,8.57M,NEW,0.43%
880770102,TER,TERADYNE INC,40508,40508,7.84M,7.84M,NEW,0.4%
931142103,WMT,WALMART INC,64434,64434,7.18M,7.18M,NEW,0.36%
023135106,AMZN,AMAZON COM INC,30926,29124,7.14M,6.72M,+1616.2%,0.36%
513272104,LW,LAMB WESTON HLDGS INC,159750,159750,6.69M,6.69M,NEW,0.34%
75281A109,RRC,RANGE RES CORP,336363,187246,11.86M,6.6M,+125.6%,0.6%
94106L109,WM,WASTE MGMT INC DEL,29006,29006,6.37M,6.37M,NEW,0.32%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,256152,248585,6.15M,5.97M,+3285.1%,0.31%
M98068105,WIX,WIX COM LTD,53448,53448,5.55M,5.55M,NEW,0.28%
17275R102,CSCO,CISCO SYS INC,70440,70440,5.43M,5.43M,NEW,0.27%
