CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
639193101,NAVN,Navan Inc,5874257,5874257,100.33M,100.33M,NEW,19.5%
090168105,BLLN,BillionToOne Inc,233333,233333,19.1M,19.1M,NEW,3.7%
64110L106,NFLX,Netflix Inc,49250,39629,4.62M,3.72M,+411.9%,0.9%
74275K108,PCOR,Procore Technologies Inc,26649,26649,1.94M,1.94M,NEW,0.38%
770700102,HOOD,Robinhood Markets Inc,1049802,0,118.73M,0,NO CHANGE,23.1%
874039100,TSM,Taiwan Semiconductor Manufacturing,59378,0,18.04M,0,NO CHANGE,3.5%
235851102,DHR,Danaher Corporation,59673,0,13.66M,0,NO CHANGE,2.7%
594918104,MSFT,Microsoft Corp,12043,0,5.82M,0,NO CHANGE,1.1%
052769106,ADSK,Autodesk Inc,16786,0,4.97M,0,NO CHANGE,0.97%
67059N108,NTNX,Nutanix Inc,56033,0,2.9M,0,NO CHANGE,0.56%
037833100,AAPL,Apple Inc,10100,0,2.75M,0,NO CHANGE,0.53%
46438F101,IBIT,iShares Bitcoin Trust ETF,37476,0,1.86M,0,NO CHANGE,0.36%
697435105,PANW,Palo Alto Networks Inc,35583,-4824,6.55M,-888.58K,-11.9%,1.3%
437076102,HD,Home Depot Inc,17533,-2760,6.03M,-949.72K,-13.6%,1.2%
22788C105,CRWD,CrowdStrike Holdings Inc,9112,-2202,4.27M,-1.03M,-19.5%,0.83%
57636Q104,MA,Mastercard Incorporated,29749,-1860,16.98M,-1.06M,-5.9%,3.3%
58155Q103,MCK,Mckesson Corp,14830,-1440,12.16M,-1.18M,-8.9%,2.4%
82509L107,SHOP,Shopify Inc,30392,-7405,4.89M,-1.19M,-19.6%,0.95%
682189105,ON,ON Semiconductor Corp,127709,-32826,6.92M,-1.78M,-20.4%,1.3%
78410G104,SBAC,SBA Communications Corporation,39374,-9274,7.62M,-1.79M,-19.1%,1.5%
871607107,SNPS,Synopsys Inc,29818,-3920,14.01M,-1.84M,-11.6%,2.7%
67066G104,NVDA,NVIDIA Corporation,79433,-11702,14.81M,-2.18M,-12.8%,2.9%
339750101,FND,Floor & Decor Holdings Inc,0,-33424,0,-2.46M,CLOSE,0%
053332102,AZO,AutoZone Inc,2586,-779,8.77M,-2.64M,-23.2%,1.7%
055477103,BCAX,Bicara Therapeutics Inc,113780,-162162,1.91M,-2.73M,-58.8%,0.37%
461202103,INTU,Intuit,5631,-4650,3.73M,-3.08M,-45.2%,0.73%
872540109,TJX,The TJX Companies Inc,87651,-26987,13.46M,-4.15M,-23.5%,2.6%
518415104,LSCC,Lattice Semiconductor Corp,78042,-57154,5.74M,-4.21M,-42.3%,1.1%
833445109,SNOW,Snowflake Inc,33577,-19341,7.37M,-4.24M,-36.5%,1.4%
30303M102,META,Meta Platforms Inc,8877,-6503,5.86M,-4.29M,-42.3%,1.1%
11135F101,AVGO,Broadcom Inc,60904,-12600,21.08M,-4.36M,-17.1%,4.1%
023135106,AMZN,Amazon Com Inc,48679,-24172,11.24M,-5.58M,-33.2%,2.2%
02079K305,GOOGL,Alphabet Inc,31612,-18748,9.89M,-5.87M,-37.2%,1.9%
19247G107,COHR,Coherent Corp,43744,-35756,8.07M,-6.6M,-45%,1.6%
040413205,ANET,Arista Networks Inc,55204,-53002,7.23M,-6.94M,-49%,1.4%
093712107,BE,Bloom Energy Corp,27460,-87000,2.39M,-7.56M,-76%,0.46%
512807306,LRCX,Lam Research Corporation,105589,-46123,18.07M,-7.9M,-30.4%,3.5%
16935C109,CHYM,Chime Financial Inc,11878,-449981,298.97K,-11.33M,-97.4%,0.06%
Total,,,,,514.09M,27.25M,+5.3%,100%
