CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,655200,655200,402.5M,402.5M,NEW,24.6%
81369Y209,XLV,SELECT SECTOR SPDR TR,406300,381300,62.9M,59.03M,+1525.2%,3.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,153000,153000,46.49M,46.5M,NEW,2.8%
594918104,MSFT,MICROSOFT CORP,147100,90000,71.14M,43.53M,+157.6%,4.3%
11135F101,AVGO,BROADCOM INC,81000,81000,28.03M,28.03M,NEW,1.7%
532457108,LLY,ELI LILLY & CO,703500,675000,26.24M,25.18M,+2368.4%,1.6%
343412102,FLR,FLUOR CORP NEW,500000,500000,19.82M,19.82M,NEW,1.2%
68389X105,ORCL,ORACLE CORP,100000,100000,19.49M,19.49M,NEW,1.2%
023135106,AMZN,AMAZON COM INC,87000,55500,20.08M,12.81M,+176.2%,1.2%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,54000,54000,10.34M,10.34M,NEW,0.63%
19240Q201,COGT,COGENT BIOSCIENCES INC,241671,241671,8.58M,8.58M,NEW,0.52%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,407044,200044,16.62M,8.17M,+96.6%,1%
46428Q109,SLV,ISHARES SILVER TR,125000,100000,8.05M,6.44M,+400%,0.49%
30303M102,META,META PLATFORMS INC,36000,9000,23.76M,5.94M,+33.3%,1.5%
46438R105,ETHA,ISHARES ETHEREUM TR,99000,99000,2.22M,2.22M,NEW,0.14%
58733R102,MELI,MERCADOLIBRE INC,42700,0,86.01M,0,NO CHANGE,5.3%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,2065000,0,64.45M,0,NO CHANGE,3.9%
P5626F128,IFS,INTERCORP FINL SVCS INC,1022210,0,43.05M,0,NO CHANGE,2.6%
037833100,AAPL,APPLE INC,96100,0,26.13M,0,NO CHANGE,1.6%
67066G104,NVDA,NVIDIA CORPORATION,112000,0,20.89M,0,NO CHANGE,1.3%
697435105,PANW,PALO ALTO NETWORKS INC,110000,0,20.26M,0,NO CHANGE,1.2%
931142103,WMT,WALMART INC,120000,0,13.37M,0,NO CHANGE,0.82%
539830109,LMT,LOCKHEED MARTIN CORP,27000,0,13.06M,0,NO CHANGE,0.8%
75513E101,RTX,RTX CORPORATION,63000,0,11.55M,0,NO CHANGE,0.71%
46429B598,INDA,ISHARES TR,210000,0,11.35M,0,NO CHANGE,0.69%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,15000,0,7.03M,0,NO CHANGE,0.43%
86384P109,STUB,STUBHUB HLDGS INC,500000,0,6.76M,0,NO CHANGE,0.41%
01609W102,BABA,ALIBABA GROUP HLDG LTD,45000,0,6.6M,0,NO CHANGE,0.4%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,99312,0,5.36M,0,NO CHANGE,0.33%
046353108,AZN,ASTRAZENECA PLC,50000,0,4.6M,0,NO CHANGE,0.28%
18915M107,NET,CLOUDFLARE INC,18000,0,3.55M,0,NO CHANGE,0.22%
78463V107,GLD,SPDR GOLD TR,5000,0,1.98M,0,NO CHANGE,0.12%
88160R101,TSLA,TESLA INC,4000,0,1.8M,0,NO CHANGE,0.11%
872590104,TMUS,T-MOBILE US INC,8000,0,1.62M,0,NO CHANGE,0.1%
058934100,BBAR,BANCO BBVA ARGENTINA S A,63000,0,1.14M,0,NO CHANGE,0.07%
92189F676,SMH,VANECK ETF TRUST,3000,0,1.08M,0,NO CHANGE,0.07%
37950E259,ARGT,GLOBAL X FDS,8900,0,814K,0,NO CHANGE,0.05%
019770106,ALLO,ALLOGENE THERAPEUTICS INC,100000,0,137K,0,NO CHANGE,<.01%
989207105,ZBRA,ZEBRA TECHNOLOGIES CORPORATI,0,-825,0,-245K,CLOSE,0%
98980L101,ZM,ZOOM VIDEO COMMUNICATIONS IN,0,-3000,0,-248K,CLOSE,0%
00766T100,ACM,AECOM,0,-2000,0,-261K,CLOSE,0%
98423F109,XMTR,XOMETRY INC,0,-5000,0,-272K,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,144000,-1000,41.1M,-285.41K,-0.7%,2.5%
02079K107,GOOG,ALPHABET INC,110000,-1000,34.52M,-313.8K,-0.9%,2.1%
46625H100,JPM,JPMORGAN CHASE & CO.,55000,-1000,17.72M,-322.22K,-1.8%,1.1%
98138H101,WDAY,WORKDAY INC,45000,-3000,9.66M,-644.33K,-6.2%,0.59%
674599105,OXY,OCCIDENTAL PETE CORP,0,-15000,0,-709K,CLOSE,0%
464287556,IBB,ISHARES TR,0,-6500,0,-938K,CLOSE,0%
81369Y605,XLF,SELECT SECTOR SPDR TR,0,-26000,0,-1.4M,CLOSE,0%
81369Y506,XLE,SELECT SECTOR SPDR TR,0,-16000,0,-1.43M,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,206730,-18270,22.6M,-2M,-8.1%,1.4%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-45000,0,-3.78M,CLOSE,0%
47089W104,ALTS,ALT5 SIGMA CORP,0,-1800000,0,-4.84M,CLOSE,0%
457669307,INSM,INSMED INC,988460,-32540,172.03M,-5.66M,-3.2%,10.5%
256163106,DOCU,DOCUSIGN INC,0,-85400,0,-6.16M,CLOSE,0%
925050106,VRNA,VERONA PHARMA PLC,0,-135000,0,-14.41M,CLOSE,0%
632307104,NTRA,NATERA INC,762603,-67700,174.71M,-15.51M,-8.2%,10.7%
G6683N103,NU,NU HLDGS LTD,2201400,-1799500,36.85M,-30.12M,-45%,2.3%
984245100,YPF,YPF SOCIEDAD ANONIMA,226475,-853525,8.19M,-30.86M,-79%,0.5%
46438F101,IBIT,ISHARES BITCOIN TR,0,-1000000,0,-65M,CLOSE,0%
Total,,,,,1.64B,513.16M,+50.7%,100%
