CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,NETFLIX INC,750000,667500,70.32M,62.58M,+809.1%,23.2%
25809K105,DASH,DOORDASH INC,150000,115000,33.97M,26.05M,+328.6%,11.2%
H5919C104,ONON,ON HLDG AG,845549,515549,39.3M,23.96M,+156.2%,13%
G0260P102,AS,AMER SPORTS INC,595894,595894,22.26M,22.26M,NEW,7.3%
68389X105,ORCL,ORACLE CORP,184985,129985,20.7M,14.55M,+236.3%,6.8%
25459W102,TECL,DIREXION SHS ETF TR,25000,25000,2.94M,2.94M,NEW,0.97%
82509L107,SHOP,SHOPIFY INC,0,-5000,0,-743.05K,CLOSE,0%
03831W108,APP,APPLOVIN CORP,30000,-20000,20.21M,-13.48M,-40%,6.7%
00827B106,AFRM,AFFIRM HLDGS INC,150000,-250000,11.16M,-18.61M,-62.5%,3.7%
30303M102,META,META PLATFORMS INC,95000,-30000,62.71M,-19.8M,-24%,20.7%
G8068L108,SN,SHARKNINJA INC,5000,-145000,804.85K,-23.34M,-96.7%,0.27%
67066G104,NVDA,NVIDIA CORPORATION,100000,-200000,18.65M,-37.3M,-66.7%,6.2%
Total,,,,,303.03M,39.06M,+10.6%,100%
