CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,ServiceNow Inc,35250,28200,5.4M,4.32M,+400%,1.4%
67079K100,SMR,NuScale Power Corporation,452700,254600,6.41M,3.61M,+128.5%,1.6%
292671708,UUUU,Energy Fuels Inc,60000,53400,872.4K,776.44K,+809.1%,0.22%
87151X101,SYM,Symbotic Inc,3400,1700,202.3K,101.15K,+100%,0.05%
67066G104,NVDA,NVIDIA Corporation,562000,0,104.81M,0,NO CHANGE,26.4%
00217D100,ASTS,AST Spacemobile Inc,790500,0,57.41M,0,NO CHANGE,14.5%
773121108,RKLB,Rocket Lab Corporation,556000,0,38.79M,0,NO CHANGE,9.8%
007903107,AMD,Advanced Micro Devices Inc,125300,0,26.83M,0,NO CHANGE,6.8%
22788C105,CRWD,CrowdStrike Holdings Inc,51000,0,23.91M,0,NO CHANGE,6%
L8681T102,SPOT,Spotify Technology SA,40100,0,23.29M,0,NO CHANGE,5.9%
037833100,AAPL,Apple Inc,80900,0,21.99M,0,NO CHANGE,5.5%
833445109,SNOW,Snowflake Inc,76900,0,16.87M,0,NO CHANGE,4.3%
023135106,AMZN,Amazon Com Inc,70800,0,16.34M,0,NO CHANGE,4.1%
594918104,MSFT,Microsoft Corp,33200,0,16.06M,0,NO CHANGE,4%
573874104,MRVL,Marvell Technology Inc,181800,0,15.45M,0,NO CHANGE,3.9%
88160R101,TSLA,Tesla Inc,30500,0,13.72M,0,NO CHANGE,3.5%
389637109,GBTC,Grayscale Bitcoin Trust ETF,107700,0,7.36M,0,NO CHANGE,1.9%
389930207,BTC,Grayscale Bitcoin Mini Trust ETF,21540,0,834.24K,0,NO CHANGE,0.21%
765504105,RR,Richtech Robotics Inc,20000,0,64.6K,0,NO CHANGE,0.02%
G25457105,CRDO,Credo Technology Group Holding Ltd,0,-600,0,-87.37K,CLOSE,0%
88023B103,TEM,Tempus AI Inc,0,-1100,0,-88.78K,CLOSE,0%
00218A105,ASPI,ASP Isotopes Inc,0,-9600,0,-92.35K,CLOSE,0%
030111207,AMSC,American Superconductor Corp,0,-1600,0,-95.02K,CLOSE,0%
G6700G107,NVT,nVent Electric plc,0,-1000,0,-98.64K,CLOSE,0%
72703X106,PL,Planet Labs PBC,0,-9000,0,-116.82K,CLOSE,0%
008073108,AVAV,AeroVironment Inc,0,-400,0,-125.96K,CLOSE,0%
Total,,,,,396.62M,8.1M,+2.2%,100%
