CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
68390D106,OR,OR ROYALTIES,68750,68750,2.43M,2.43M,NEW,2%
189054109,CLX,CLOROX CO,16030,12370,1.62M,1.25M,+338%,1.3%
26875P101,EOG,EOG RES INC,13015,10765,1.37M,1.13M,+478.4%,1.1%
754907103,RYN,RAYONIER INC REIT,41075,41075,889.27K,889.27K,NEW,0.72%
57060D108,MKTX,MARKETAXESS HLDGS INC,5774,4424,1.05M,801.85K,+327.7%,0.85%
371901109,GNTX,GENTEX CORP,43480,34430,1.01M,801.19K,+380.4%,0.82%
136375102,CNI,CANADIAN NATL RY CO F,8040,8040,794.75K,794.75K,NEW,0.64%
683715106,OTEX,OPEN TEXT CORP F,26840,22880,874.45K,745.43K,+577.8%,0.71%
00724F101,ADBE,ADOBE INC,2885,2087,1.01M,730.43K,+261.5%,0.82%
831865209,AOS,SMITH A O CORP,14490,10755,969.09K,719.29K,+288%,0.78%
62955J103,NOV,NOV INC,62700,41350,980K,646.3K,+193.7%,0.79%
681919106,OMC,OMNICOM GROUP INC,13034,7984,1.05M,644.71K,+158.1%,0.85%
90400P101,UGP,ULTRAPAR PARTICIPACO A FSPONSORED ADR 1 ADR REPS 1 ORD SHS,166400,166400,627.33K,627.33K,NEW,0.51%
Y27183600,GSL,GLOBAL SHIP LEASE INC FCLASS CLASS A,17870,17870,626.16K,626.16K,NEW,0.51%
501889208,LKQ,LKQ CORP,57660,19765,1.74M,596.9K,+52.2%,1.4%
115637209,BF.B,BROWN FORMAN CORP CLASS B,27315,19090,711.83K,497.49K,+232.1%,0.58%
458334109,IPAR,INTERPARFUMS INC,5790,5790,491.17K,491.17K,NEW,0.4%
134429109,CPB,THE CAMPBELL'S CO,28640,16035,798.2K,446.9K,+127.2%,0.65%
128246105,CVGW,CALAVO GROWERS INC,46170,19950,1M,433.91K,+76.1%,0.81%
864159108,RGR,STURM RUGER & CO INC,33470,12430,1.09M,405.84K,+59.1%,0.88%
N4732M103,JBS,JBS N V FCLASS A,27800,27800,400.88K,400.88K,NEW,0.32%
747525103,QCOM,QUALCOMM INC,7355,2200,1.26M,376.31K,+42.7%,1%
464289438,IWY,iShares,1330,1330,368.33K,368.33K,NEW,0.3%
01877R108,ARLP,ALLIANCE RESOURCE PAR LP,15500,15050,360.06K,349.61K,+3344.4%,0.29%
464287457,SHY,iShares,4150,4150,343.7K,343.7K,NEW,0.28%
N20944109,CNH,CNH INDL N V F,36800,36800,339.3K,339.3K,NEW,0.27%
98978V103,ZTS,ZOETIS INC CLASS CLASS A,2685,2685,337.83K,337.83K,NEW,0.27%
911312106,UPS,UNITED PARCEL SVC INC CLASS B,11245,3285,1.12M,325.84K,+41.3%,0.9%
110122108,BMY,BRISTOL MYERS SQUIBB CO,18815,5990,1.01M,323.1K,+46.7%,0.82%
125269100,CF,CF INDS HLDGS INC,4005,4005,309.75K,309.75K,NEW,0.25%
