CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
920253101,VMI,VALMONT INDS INC,33000,33000,13.28M,13.28M,NEW,7%
594918104,MSFT,MICROSOFT CORP,52600,20000,25.44M,9.67M,+61.3%,13.5%
71385M107,PRM,PERIMETER SOLUTIONS INC,570038,0,15.69M,0,NO CHANGE,8.3%
023135106,AMZN,AMAZON COM INC,62300,0,14.38M,0,NO CHANGE,7.6%
N07059210,ASML,ASML HOLDING N V,12000,0,12.84M,0,NO CHANGE,6.8%
893641100,TDG,TRANSDIGM GROUP INC,6200,0,8.25M,0,NO CHANGE,4.4%
165167735,EXE,EXPAND ENERGY CORPORATION,69700,0,7.69M,0,NO CHANGE,4.1%
03674X106,AR,ANTERO RESOURCES CORP,213269,0,7.35M,0,NO CHANGE,3.9%
02079K305,GOOGL,ALPHABET INC,20100,0,6.29M,0,NO CHANGE,3.3%
82846H405,QXO,QXO INC,215000,0,4.15M,0,NO CHANGE,2.2%
651718504,NPKI,NPK INTERNATIONAL INC,1014221,-48042,12.09M,-572.66K,-4.5%,6.4%
92537N108,VRT,VERTIV HOLDINGS CO,10800,-27000,1.75M,-4.37M,-71.4%,0.93%
278768106,SATS,ECHOSTAR CORP,550000,-165000,59.78M,-17.94M,-23.1%,31.6%
Total,,,,,188.98M,66.53K,+0%,100%
