CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
65345M108,NXDR,NEXTDOOR HOLDINGS INC,114178,114178,239.77K,239.77K,NEW,8.6%
19260Q107,COIN,COINBASE GLOBAL INC,8832,0,2M,0,NO CHANGE,71.7%
053604104,AVPT,AVEPOINT INC,32310,0,448.79K,0,NO CHANGE,16.1%
83067L208,SKLZ,SKILLZ INC,13950,0,60.12K,0,NO CHANGE,2.2%
69404D108,PACB,PACIFIC BIOSCIENCES CALIF IN,20586,0,38.5K,0,NO CHANGE,1.4%
014442107,ALEC,ALECTOR INC,0,-10286,0,-30.45K,CLOSE,0%
60937P106,MDB,MONGODB INC,0,-3325,0,-1.03M,CLOSE,0%
72703X106,PL,PLANET LABS PBC,0,-172097,0,-2.23M,CLOSE,0%
05464T104,AXSM,AXSOME THERAPEUTICS INC,0,-33849,0,-4.11M,CLOSE,0%
79589L106,IOT,SAMSARA INC,0,-556582,0,-20.73M,CLOSE,0%
Total,,,,,2.78M,-27.9M,-87.9%,100%
