CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,159000,129000,36.7M,29.78M,+430%,12.4%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,190000,190000,9.43M,9.43M,NEW,3.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,35009,35009,7.5M,7.5M,NEW,2.5%
81141R100,SE,SEA LTD,85000,55000,10.84M,7.02M,+183.3%,3.7%
19260Q107,COIN,COINBASE GLOBAL INC,30000,30000,6.78M,6.78M,NEW,2.3%
58733R102,MELI,MERCADOLIBRE INC,6500,3100,13.09M,6.24M,+91.2%,4.4%
98980G102,ZS,ZSCALER INC,20000,20000,4.5M,4.5M,NEW,1.5%
093712107,BE,BLOOM ENERGY CORP,45094,45094,3.92M,3.92M,NEW,1.3%
697435105,PANW,PALO ALTO NETWORKS INC,20500,20500,3.78M,3.78M,NEW,1.3%
595112103,MU,MICRON TECHNOLOGY INC,10000,10000,2.85M,2.85M,NEW,0.97%
31188V100,FSLY,FASTLY INC,270000,270000,2.75M,2.75M,NEW,0.93%
594918104,MSFT,MICROSOFT CORP,75000,5000,36.27M,2.42M,+7.1%,12.3%
67066G104,NVDA,NVIDIA CORPORATION,235000,10000,43.83M,1.86M,+4.4%,14.8%
11135F101,AVGO,BROADCOM INC,73500,3500,25.44M,1.21M,+5%,8.6%
26622P107,DOCS,DOXIMITY INC,7500,7500,332.1K,332.1K,NEW,0.11%
60937P106,MDB,MONGODB INC,23489,0,9.86M,0,NO CHANGE,3.3%
G6683N103,NU,NU HLDGS LTD,425614,0,7.12M,0,NO CHANGE,2.4%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,55000,0,1.12M,0,NO CHANGE,0.38%
26603R106,DUOL,DUOLINGO INC,16250,-750,2.85M,-131.62K,-4.4%,0.97%
770700102,HOOD,ROBINHOOD MKTS INC,37500,-2500,4.24M,-282.75K,-6.2%,1.4%
G29018101,DLO,DLOCAL LTD,500000,-75000,7.07M,-1.06M,-13%,2.4%
09352U108,BLND,BLEND LABS INC,0,-314765,0,-1.15M,CLOSE,0%
433000106,HIMS,HIMS & HERS HEALTH INC,45000,-40000,1.46M,-1.3M,-47.1%,0.49%
77664L207,ROOT,ROOT INC,0,-36637,0,-3.28M,CLOSE,0%
20464U100,COMP,COMPASS INC,0,-850000,0,-6.83M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,112500,-22400,35.3M,-7.03M,-16.6%,12%
79466L302,CRM,SALESFORCE INC,0,-39836,0,-9.44M,CLOSE,0%
773121108,RKLB,ROCKET LAB CORP,0,-200050,0,-9.58M,CLOSE,0%
04626A103,ALAB,ASTERA LABS INC,0,-50000,0,-9.79M,CLOSE,0%
N97284108,NBIS,NEBIUS GROUP N.V.,35000,-125000,2.93M,-10.46M,-78.1%,0.99%
Q4982L109,IREN,IREN LIMITED,55000,-340000,2.08M,-12.84M,-86.1%,0.7%
30303M102,META,META PLATFORMS INC,13000,-22000,8.58M,-14.52M,-62.9%,2.9%
68389X105,ORCL,ORACLE CORP,15018,-74982,2.93M,-14.61M,-83.3%,0.99%
683712103,OPEN,OPENDOOR TECHNOLOGIES INC,0,-2000000,0,-15.94M,CLOSE,0%
23834J201,DAVE,DAVE INC,0,-97771,0,-19.49M,CLOSE,0%
464287655,IWM,ISHARES TR,0,-100000,0,-24.2M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,2500,-46272,1.68M,-31.18M,-94.9%,0.57%
Total,,,,,295.25M,-102.75M,-24.7%,100%
