CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,NETFLIX INC,14050,12648,1.32M,1.19M,+902.1%,0.41%
81369Y506,XLE,SELECT SECTOR SPDR TR,47403,23220,2.12M,1.04M,+96%,0.66%
81369Y407,XLY,SELECT SECTOR SPDR TR,12345,6133,1.47M,732.36K,+98.7%,0.46%
81369Y886,XLU,SELECT SECTOR SPDR TR,25292,13390,1.08M,571.62K,+112.5%,0.34%
45409F843,MMIN,NEW YORK LIFE INVTS ACTIVE E,34677,19564,830.17K,468.36K,+129.5%,0.26%
46428Q109,SLV,ISHARES SILVER TR,4939,4939,318.17K,318.17K,NEW,0.1%
46654Q716,JBND,J P MORGAN EXCHANGE TRADED F,5779,5779,312.47K,312.47K,NEW,0.1%
464287440,IEF,ISHARES TR,23062,3169,2.22M,304.73K,+15.9%,0.69%
595112103,MU,MICRON TECHNOLOGY INC,961,961,274.3K,274.3K,NEW,0.09%
92647X764,GFLW,VICTORY PORTFOLIOS II,8819,8819,248.34K,248.34K,NEW,0.08%
75886F107,REGN,REGENERON PHARMACEUTICALS,310,310,239.28K,239.28K,NEW,0.07%
33735B108,FNX,FIRST TR EXCHANGE-TRADED ALP,1897,1897,238.98K,238.98K,NEW,0.07%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,755,755,229.44K,229.44K,NEW,0.07%
478160104,JNJ,JOHNSON & JOHNSON,2757,1065,570.54K,220.39K,+62.9%,0.18%
931142103,WMT,WALMART INC,1903,1903,212K,212K,NEW,0.07%
681936100,OHI,OMEGA HEALTHCARE INVS INC,4670,4670,207.07K,207.07K,NEW,0.06%
33737A108,GRID,FIRST TR EXCHANGE TRADED FD,1340,1340,205.05K,205.05K,NEW,0.06%
74347X831,TQQQ,PROSHARES TR,7573,3791,399.22K,199.85K,+100.2%,0.12%
46138G649,QQQM,INVESCO EXCH TRADED FD TR II,15047,762,3.81M,192.73K,+5.3%,1.2%
46138G631,QQQJ,INVESCO EXCH TRADED FD TR II,123414,5228,4.55M,192.65K,+4.4%,1.4%
46654Q609,JGRO,J P MORGAN EXCHANGE TRADED F,33959,1627,3.15M,150.99K,+5%,0.98%
98149E303,GLDM,WORLD GOLD TR,101195,1695,8.64M,144.7K,+1.7%,2.7%
30303M102,META,META PLATFORMS INC,4648,175,3.07M,115.53K,+3.9%,0.96%
46641Q134,JIRE,J P MORGAN EXCHANGE TRADED F,31389,1247,2.35M,93.38K,+4.1%,0.73%
742718109,PG,PROCTER AND GAMBLE CO,2052,560,294.12K,80.27K,+37.5%,0.09%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,1464,256,433.68K,75.84K,+21.2%,0.14%
29273V100,ET,ENERGY TRANSFER L P,15500,3682,255.6K,60.72K,+31.2%,0.08%
92189F676,SMH,VANECK ETF TRUST,3235,141,1.17M,50.78K,+4.6%,0.36%
594918104,MSFT,MICROSOFT CORP,14066,100,6.8M,48.36K,+0.7%,2.1%
46090E103,QQQ,INVESCO QQQ TR,8226,56,5.05M,34.4K,+0.7%,1.6%
880770102,TER,TERADYNE INC,11215,157,2.17M,30.39K,+1.4%,0.68%
91324P102,UNH,UNITEDHEALTH GROUP INC,852,85,281.37K,28.07K,+11.1%,0.09%
437076102,HD,HOME DEPOT INC,2373,79,816.64K,27.19K,+3.4%,0.25%
756158101,UTG,REAVES UTIL INCOME FD,7240,734,264.82K,26.85K,+11.3%,0.08%
74762E102,PWR,QUANTA SVCS INC,1844,54,778.28K,22.79K,+3%,0.24%
33733E104,FTCS,FIRST TR EXCHANGE-TRADED FD,59234,244,5.48M,22.57K,+0.4%,1.7%
09255P107,HYT,BLACKROCK CORPOR HI YLD FD I,26291,2497,233.99K,22.22K,+10.5%,0.07%
007903107,AMD,ADVANCED MICRO DEVICES INC,25683,103,5.5M,22.06K,+0.4%,1.7%
438516106,HON,HONEYWELL INTL INC,2168,106,422.89K,20.68K,+5.1%,0.13%
79466L302,CRM,SALESFORCE INC,2436,74,645.33K,19.6K,+3.1%,0.2%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,8653,497,277.41K,15.93K,+6.1%,0.09%
24703L202,DELL,DELL TECHNOLOGIES INC,1722,122,216.76K,15.36K,+7.6%,0.07%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,51489,247,2.99M,14.36K,+0.5%,0.93%
00214Q104,ARKK,ARK ETF TR,31161,172,2.4M,13.23K,+0.6%,0.75%
038222105,AMAT,APPLIED MATLS INC,3715,49,954.69K,12.59K,+1.3%,0.3%
90353T100,UBER,UBER TECHNOLOGIES INC,4206,140,343.67K,11.44K,+3.4%,0.11%
166764100,CVX,CHEVRON CORP NEW,4942,75,753.28K,11.43K,+1.5%,0.23%
75513E101,RTX,RTX CORPORATION,14722,53,2.7M,9.72K,+0.4%,0.84%
149123101,CAT,CATERPILLAR INC,3018,16,1.73M,9.17K,+0.5%,0.54%
097023105,BA,BOEING CO,1177,41,255.6K,8.9K,+3.6%,0.08%
031162100,AMGN,AMGEN INC,8518,26,2.79M,8.51K,+0.3%,0.87%
580135101,MCD,MCDONALDS CORP,931,27,284.53K,8.25K,+3%,0.09%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,1667,40,237.55K,5.7K,+2.5%,0.07%
N07059210,ASML,ASML HOLDING N V,304,5,325.24K,5.35K,+1.7%,0.1%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,3676,10,1.77M,4.81K,+0.3%,0.55%
00206R102,T,AT&T INC,18611,193,462.3K,4.79K,+1%,0.14%
