CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81762P102,NOW,SERVICENOW INC,103175,83116,15.81M,12.73M,+414.4%,1.8%
67079K100,SMR,NUSCALE PWR CORP,770968,770968,10.92M,10.92M,NEW,1.2%
64110L106,NFLX,NETFLIX INC,87463,87463,8.2M,8.2M,NEW,0.93%
46120E602,ISRG,INTUITIVE SURGICAL INC,40752,6945,23.08M,3.93M,+20.5%,2.6%
670100205,NVO,NOVO-NORDISK A S,229265,76691,11.67M,3.9M,+50.3%,1.3%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,741225,148484,15.08M,3.02M,+25.1%,1.7%
097023105,BA,BOEING CO,63994,12703,13.89M,2.76M,+24.8%,1.6%
166764100,CVX,CHEVRON CORP NEW,141514,18021,21.57M,2.75M,+14.6%,2.4%
679295105,OKTA,OKTA INC,122812,24710,10.62M,2.14M,+25.2%,1.2%
17275R102,CSCO,CISCO SYS INC,169146,14369,13.03M,1.11M,+9.3%,1.5%
78468R663,BIL,SPDR SERIES TRUST,11500,11500,1.05M,1.05M,NEW,0.12%
880779103,TEX,TEREX CORP NEW,18960,18960,1.01M,1.01M,NEW,0.11%
26701L100,BROS,DUTCH BROS INC,28770,13620,1.76M,833.82K,+89.9%,0.2%
75776W103,RDW,REDWIRE CORPORATION,71500,71500,543.4K,543.4K,NEW,0.06%
34959E109,FTNT,FORTINET INC,222171,6539,17.64M,519.26K,+3%,2%
98419M100,XYL,XYLEM INC,137231,3503,18.69M,477.04K,+2.6%,2.1%
387328107,GVA,GRANITE CONSTR INC,172147,3752,19.86M,432.79K,+2.2%,2.3%
594918104,MSFT,MICROSOFT CORP,62769,741,30.36M,358.36K,+1.2%,3.4%
855244109,SBUX,STARBUCKS CORP,95474,4244,8.04M,357.39K,+4.7%,0.91%
687793109,OSCR,OSCAR HEALTH INC,794014,24012,11.41M,345.05K,+3.1%,1.3%
023135106,AMZN,AMAZON COM INC,135116,1376,31.19M,317.61K,+1%,3.5%
92343V104,VZ,VERIZON COMMUNICATIONS INC,149504,7582,6.09M,308.81K,+5.3%,0.69%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,50668,731,15.01M,216.53K,+1.5%,1.7%
02079K305,GOOGL,ALPHABET INC,655,655,205.01K,205.01K,NEW,0.02%
81369Y506,XLE,SELECT SECTOR SPDR TR,9695,4568,433.47K,204.24K,+89.1%,0.05%
18915M107,NET,CLOUDFLARE INC,94024,888,18.54M,175.07K,+1%,2.1%
81369Y704,XLI,SELECT SECTOR SPDR TR,4675,1031,725.19K,159.93K,+28.3%,0.08%
G51502105,JCI,JOHNSON CTLS INTL PLC,150151,1313,17.98M,157.23K,+0.9%,2%
