CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,84800,32300,29.73M,11.32M,+61.5%,3.2%
60855R100,MOH,MOLINA HEALTHCARE INC,110000,51600,19.09M,8.95M,+88.4%,2%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,420000,100000,9.82M,2.34M,+31.2%,1.1%
37890B100,GBTG,GLOBAL BUSINESS TRAVEL GROUP,21453816,1,164.12M,7.65,+0%,17.6%
N00985106,AER,AERCAP HOLDINGS NV,1304863,0,187.59M,0,NO CHANGE,20.1%
278768AB2,SATS,ECHOSTAR CORP,53950906,0,180.66M,0,NO CHANGE,19.3%
879433829,TDS,TELEPHONE & DATA SYS INC,876580,0,35.94M,0,NO CHANGE,3.8%
02156K103,OPTU,OPTIMUM COMMUNICATIONS INC,8189270,0,13.51M,0,NO CHANGE,1.4%
86389T106,MSC,STUDIO CITY INTL HLDGS LTD,3239073,0,11.5M,0,NO CHANGE,1.2%
588056101,MERC,MERCER INTL INC,4648133,0,9.2M,0,NO CHANGE,0.99%
91324P102,UNH,UNITEDHEALTH GROUP INC,27500,0,9.08M,0,NO CHANGE,0.97%
15135B101,CNC,CENTENE CORP DEL,208500,0,8.58M,0,NO CHANGE,0.92%
124830878,CBL,CBL & ASSOC PPTYS INC,117613,0,4.35M,0,NO CHANGE,0.47%
28238P109,EHTH,EHEALTH INC,467395,0,2.15M,0,NO CHANGE,0.23%
38046W204,GOCO,GOHEALTH INC,924244,0,1.99M,0,NO CHANGE,0.21%
02913V103,APEI,AMERICAN PUB ED INC,10000,0,378K,0,NO CHANGE,0.04%
278768106,SATS,ECHOSTAR CORP,2267787,-3332012,246.51M,-362.19M,-59.5%,26.4%
Total,,,,,934.2M,-339.57M,-32.9%,100%
