CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287465,EFA,ISHARES TR,10460,10460,1M,1M,NEW,0.23%
464286392,URTH,ISHARES INC,5375,5375,998.51K,998.51K,NEW,0.23%
78462F103,SPY,SPDR S&P 500 ETF TR,133977,1460,91.36M,995.6K,+1.1%,20.9%
464287655,IWM,ISHARES TR,1970,1970,484.94K,484.94K,NEW,0.11%
485924104,KRMN,KARMAN HLDGS INC,2050196,0,150.01M,0,NO CHANGE,34.3%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,625000,0,119.72M,0,NO CHANGE,27.4%
42238D107,HTFL,HEARTFLOW INC,1939201,0,56.53M,0,NO CHANGE,12.9%
75321W103,PACK,RANPAK HOLDINGS CORP,3018616,0,16.33M,0,NO CHANGE,3.7%
78468R663,BIL,SPDR SERIES TRUST,5460,0,498.94K,0,NO CHANGE,0.11%
Total,,,,,436.94M,3.48M,+0.8%,100%
