CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
68236H204,ONDS,ONDAS HLDGS INC,197387,197387,1.93M,1.93M,NEW,1.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,6371,6371,1.36M,1.36M,NEW,0.86%
58507V107,MDLN,MEDLINE INC,30352,30352,1.27M,1.27M,NEW,0.8%
143658300,CCL,CARNIVAL CORP,39725,39725,1.21M,1.21M,NEW,0.76%
666807102,NOC,NORTHROP GRUMMAN CORP,2040,2040,1.16M,1.16M,NEW,0.73%
267475101,DY,DYCOM INDS INC,3265,3265,1.1M,1.1M,NEW,0.69%
609839105,MPWR,MONOLITHIC PWR SYS INC,1208,1208,1.09M,1.09M,NEW,0.69%
002896207,ANF,ABERCROMBIE & FITCH CO,7758,7758,976.5K,976.5K,NEW,0.61%
719405102,PLAB,PHOTRONICS INC,29575,29575,946.4K,946.4K,NEW,0.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,3090,3090,939.02K,939.02K,NEW,0.59%
826165201,SIDU,SIDUS SPACE INC,289382,289382,908.66K,908.66K,NEW,0.57%
55024U109,LITE,LUMENTUM HLDGS INC,2443,2443,900.47K,900.47K,NEW,0.57%
651639106,NEM,NEWMONT CORP,8972,8972,895.85K,895.85K,NEW,0.56%
45168D104,IDXX,IDEXX LABS INC,1293,1293,874.75K,874.75K,NEW,0.55%
053332102,AZO,AUTOZONE INC,257,257,871.62K,871.62K,NEW,0.55%
22160K105,COST,COSTCO WHSL CORP NEW,993,993,856.3K,856.3K,NEW,0.54%
315616102,FFIV,F5 INC,3984,3354,1.02M,856.14K,+532.4%,0.64%
74460D109,PSA,PUBLIC STORAGE OPER CO,3277,3277,850.38K,850.38K,NEW,0.53%
773121108,RKLB,ROCKET LAB CORP,11803,11803,823.38K,823.38K,NEW,0.52%
25754A201,DPZ,DOMINOS PIZZA INC,3364,1950,1.4M,812.8K,+137.9%,0.88%
369550108,GD,GENERAL DYNAMICS CORP,2315,2315,779.37K,779.37K,NEW,0.49%
74347X831,TQQQ,PROSHARES TR,14753,14753,777.78K,777.78K,NEW,0.49%
032108649,SILJ,AMPLIFY ETF TR,27480,27480,760.37K,760.37K,NEW,0.48%
00246W103,AXTI,AXT INC,45907,45907,750.58K,750.58K,NEW,0.47%
053484101,AVB,AVALONBAY CMNTYS INC,4082,4082,740.11K,740.11K,NEW,0.47%
49714P108,KNSL,KINSALE CAP GROUP INC,1882,1882,736.09K,736.09K,NEW,0.46%
