CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,NETFLIX INC,628500,566163,58.93M,53.08M,+908.2%,2%
03831W108,APP,APPLOVIN CORP,55693,40692,37.53M,27.42M,+271.3%,1.3%
30303M102,META,META PLATFORMS INC,172142,18419,113.63M,12.16M,+12%,3.8%
023135106,AMZN,AMAZON COM INC,675789,37944,155.99M,8.76M,+5.9%,5.3%
30212P303,EXPE,EXPEDIA GROUP INC,23675,23675,6.71M,6.71M,NEW,0.23%
037833100,AAPL,APPLE INC,875781,23089,238.09M,6.28M,+2.7%,8%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,40837,40837,3.65M,3.65M,NEW,0.12%
237194105,DRI,DARDEN RESTAURANTS INC,20250,19517,3.73M,3.59M,+2662.6%,0.13%
457669307,INSM,INSMED INC,19584,19584,3.41M,3.41M,NEW,0.12%
11135F101,AVGO,BROADCOM INC,295485,8664,102.27M,3M,+3%,3.5%
12541W209,CHRW,C H ROBINSON WORLDWIDE INC,13015,13015,2.09M,2.09M,NEW,0.07%
03990B101,ARES,ARES MANAGEMENT CORPORATION,52573,11524,8.5M,1.86M,+28.1%,0.29%
58733R102,MELI,MERCADOLIBRE INC,11876,917,23.92M,1.85M,+8.4%,0.81%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,285010,6544,79.49M,1.83M,+2.4%,2.7%
172573107,CRCL,CIRCLE INTERNET GROUP INC,22346,22346,1.77M,1.77M,NEW,0.06%
149123101,CAT,CATERPILLAR INC,3905,2829,2.24M,1.62M,+262.9%,0.08%
04626A103,ALAB,ASTERA LABS INC,20798,9561,3.46M,1.59M,+85.1%,0.12%
G8068L108,SN,SHARKNINJA INC,46270,13716,5.18M,1.53M,+42.1%,0.17%
87256C101,TKO,TKO GROUP HOLDINGS INC,14896,6689,3.11M,1.4M,+81.5%,0.11%
75734B100,RDDT,REDDIT INC,41953,5978,9.64M,1.37M,+16.6%,0.33%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,26806,26806,1.3M,1.3M,NEW,0.04%
