CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
52567D107,LMND,LEMONADE INC,169338,169338,12.05M,12.05M,NEW,10.3%
70450Y103,PYPL,PAYPAL HLDGS INC,120276,120276,7.02M,7.02M,NEW,6%
G5S37H101,MRX,MAREX GROUP PLC,32581,32581,1.25M,1.25M,NEW,1.1%
722304102,PDD,PDD HOLDINGS INC,8371,8371,949.19K,949.19K,NEW,0.81%
M9T951109,ZIM,ZIM INTEGRATED SHIPPING SERV,961950,11486,20.42M,243.85K,+1.2%,17.5%
L00849106,AGRO,ADECOAGRO S A,2200278,0,21.41M,0,NO CHANGE,18.3%
29357K103,ENVA,ENOVA INTL INC,12468,-53482,1.96M,-8.41M,-81.1%,1.7%
91531W106,TIGR,UP FINTECH HLDG LTD,5325660,-935286,50.91M,-8.94M,-14.9%,43.6%
40054A108,SUPV,GRUPO SUPERVIELLE S.A,76339,-926187,902.33K,-10.95M,-92.4%,0.77%
Total,,,,,116.89M,-6.78M,-6.2%,100%
