CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46120E602,ISRG,INTUITIVE SURGICAL INC,2000,2000,1.13M,1.13M,NEW,23.9%
79466L302,CRM,SALESFORCE INC,2500,2500,662.27K,662.28K,NEW,14%
880770102,TER,TERADYNE INC,1990,1990,385.18K,385.18K,NEW,8.1%
654106103,NKE,NIKE INC,5000,5000,318.55K,318.55K,NEW,6.7%
60937P106,MDB,MONGODB INC,720,720,302.18K,302.18K,NEW,6.4%
81764X103,TTAN,SERVICETITAN INC,2430,2430,258.8K,258.8K,NEW,5.5%
882681109,TXRH,TEXAS ROADHOUSE INC,1500,1500,249K,249K,NEW,5.3%
871607107,SNPS,SYNOPSYS INC,490,490,230.16K,230.16K,NEW,4.9%
595112103,MU,MICRON TECHNOLOGY INC,740,740,211.2K,211.2K,NEW,4.5%
644393100,NFE,NEW FORTRESS ENERGY INC,50000,50000,57K,57K,NEW,1.2%
904311206,UA,UNDER ARMOUR INC,10000,10000,48K,48K,NEW,1%
92922P106,WTI,W & T OFFSHORE INC,24250,24250,39.53K,39.53K,NEW,0.83%
64081V109,NRDY,NERDY INC,25000,25000,26K,26K,NEW,0.55%
68236V302,ETHZ,ETHZILLA CORPORATION,0,-14670,0,-35.35K,CLOSE,0%
M8001Q126,PYPD,POLYPID LTD,127326,-15770,552.6K,-68.44K,-11%,11.7%
09173B107,BITF,BITFARMS LTD,0,-31770,0,-89.59K,CLOSE,0%
266042407,DUOT,DUOS TECHNOLOGIES GROUP INC,0,-14670,0,-107.97K,CLOSE,0%
10586A108,GRO,BRAZIL POTASH CORP,0,-48900,0,-131.54K,CLOSE,0%
G9548D104,WTF,WATON FINL LTD,0,-24440,0,-150.79K,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-730,0,-205.3K,CLOSE,0%
09352U108,BLND,BLEND LABS INC,0,-58660,0,-214.11K,CLOSE,0%
22266T109,CPNG,COUPANG INC,0,-6840,0,-220.25K,CLOSE,0%
868927203,SRFM,SURF AIR MOBILITY INC,29550,-126860,57.33K,-246.11K,-81.1%,1.2%
N07059210,ASML,ASML HOLDING N V,0,-280,0,-271.06K,CLOSE,0%
683712103,OPEN,OPENDOOR TECHNOLOGIES INC,0,-42760,0,-340.8K,CLOSE,0%
98980L101,ZM,ZOOM COMMUNICATIONS INC,2420,-4420,208.82K,-381.4K,-64.6%,4.4%
855244109,SBUX,STARBUCKS CORP,0,-4860,0,-411.16K,CLOSE,0%
134748102,CAN,CANAAN INC,0,-488800,0,-430.93K,CLOSE,0%
256163106,DOCU,DOCUSIGN INC,0,-6400,0,-461.38K,CLOSE,0%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,0,-6370,0,-464.5K,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-4960,0,-1.12M,CLOSE,0%
464287655,IWM,ISHARES TR,0,-5000,0,-1.21M,CLOSE,0%
44916E100,IPX,IPERIONX LTD,0,-29425,0,-1.45M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-10210,0,-4.54M,CLOSE,0%
Total,,,,,4.74M,-8.63M,-63.6%,100%
