CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
639193101,NAVN,Navan Inc,27195364,27195364,464.5M,464.5M,NEW,29.4%
426927109,HTBK,Heritage Commerce Corp,82740,82740,129.07K,129.07K,NEW,<.01%
316841105,FIG,Figma Inc,16246129,0,607.12M,0,NO CHANGE,38.4%
30303M102,META,Meta Platforms Inc,212531,0,140.29M,0,NO CHANGE,8.9%
578784100,MAZE,Maze Therapeutics Inc,1702225,0,70.52M,0,NO CHANGE,4.5%
852234103,XYZ,Block Inc,1016697,0,66.18M,0,NO CHANGE,4.2%
09077V100,BIOA,Bioage Labs Inc,3233170,0,44.07M,0,NO CHANGE,2.8%
63909J108,NAUT,Nautilus Biotechnology Inc,17653917,0,34.43M,0,NO CHANGE,2.2%
13463J101,CAMP,Camp4 Therapeutics Corp,2125339,0,13.03M,0,NO CHANGE,0.82%
29479A108,ERAS,Erasca Inc,2862500,0,10.65M,0,NO CHANGE,0.67%
37611X209,DNA,Ginkgo Bioworks Holdings Inc,108568,0,902.2K,0,NO CHANGE,0.06%
68170A108,OMDA,Omada Health Inc,3460929,-1153645,54.61M,-18.2M,-25%,3.5%
76155X100,RVMD,Revolution Medicines Inc,921099,-1827424,73.37M,-145.55M,-66.5%,4.6%
Total,,,,,1.58B,300.87M,+21.6%,100%
