"CIK","Fund","Manager","Denomination","CIKs"
"0001536411","Duquesne","Stanley Druckenmiller","Duquesne Family Office LLC",""
"0001037389","Renaissance","Jim Simons","Renaissance Technologies LLC",""
"0001421669","3G","Jorge Paulo Lehman","3G Capital Partners LP",""
"0001540358","a16z","Ben Horowitz","a16z Capital Management, L.L.C.",""
"0002049221","ABC","Dominique Ceolin","ABC Arbitrage SA",""
"0002029917","ADAPT","Clément Mary-Dauphin","ADAPT Investment Managers SA",""
"0001818044","AF","Jeff Adams","AF Advisors, Inc.",""
"0001512073","Aft Forsyth","Larry Aft","Aft, Forsyth & Company, Inc.",""
"0001933952","AI-Squared","Darren Kimura","AI-Squared Management Ltd",""
"0001230239","Alkeon","Panayotis Sparaggis","Alkeon Capital Management LLC",""
"0002076121","Amanah","Karim Al-Mansour","Amanah Holdings Trust",""
"0001807559","Amitell","Irene Tedja","Amitell Capital Pte Ltd",""
"0001480751","Amova","Stefanie Drews","Amova Asset Management Americas, Inc.",""
"0001822480","Anabranch","Alexander Shapiro & Daniel Wolf","Anabranch Capital Management, LP",""
"0001753384","Analog","Val Zlatev","Analog Century Management LP",""
"0002007642","Anchorage","Yale Baron & Thibault Gournay","Anchorage Capital Advisors, L.P.",""
"0001426749","Ancient Art","Quincy Lee","Ancient Art, L.P.",""
"0001805591","Andar","Wen Han Li","Andar Capital Management HK Ltd",""
"0001835730","Ardmore Road","Chris Connor","Ardmore Road Asset Management",""
"0001916757","ASR","Patrick Klijnsmit","ASR Vermogensbeheer N.V.",""
"0001832439","Atmos","Bruno Levacov","Atmos Capital Gestao De Recursos Ltda",""
"0001777813","Atreides","Gavin Baker","Atreides Management, LP",""
"0001948899","Avala","Divya Nettimi","Avala Global LP",""
"0001632341","Belvedere","Thomas Hutchinson","Belvedere Trading LLC",""
"0001133742","Berkshire Capital","Malcolm Fobes III","Berkshire Capital Holdings Inc",""
"0002053305","BIT","Jan Beckers","BIT Capital GmbH",""
"0001764725","Blue Grotto","Benjamin Gordon","Blue Grotto Capital, LLC",""
"0001801547","Blue Whale","Stephen Yiu","Blue Whale Capital LLP",""
"0002010854","BOCHK","Shen Hua","BOCHK Asset Management Ltd",""
"0001547349","Broad Peak","Syed Hyder Ahmad","Broad Peak Investment Advisers PTE Ltd",""
"0001966297","Burr","Sean Burr","Burr Financial Services, LLC",""
"0001619124","Cardano","Harold Naus","Cardano Risk Management B.V.",""
"0001697591","CAS","Clifford Sosin","CAS Investment Partners, LLC",""
"0001835751","CastleKnight","Aaron Weitman","CastleKnight Management LP",""
"0001388551","Caxton","Bruce Kovner","Caxton Corp",""
"0002051323","Caxton Associates","Andrew Law","Caxton Associates LP",""
"0001274419","CIC","Daniel Baal","Credit Industriel et Commercial",""
"0001745907","CloudAlpha","Nancy Yang","CloudAlpha Capital Management Limited/Hong Kong",""
"0001632813","CMT","Scott Casto & Jan-Dirk Lüders","CMT Capital Markets Trading GmbH",""
"0001135730","Coatue","Philippe Laffont","Coatue Management, L.L.C.",""
"0001260786","Consolidated Press","Lawrence Myers","Consolidated Press International Holdings Ltd",""
"0002054801","Contrarius","Stephen Mildenhall","Contrarius Group Holdings Ltd",""
"0001910417","Corton","David Jarvis","Corton Capital Inc.",""
"0001789082","Crake","Richard Walker","Crake Asset Management LLP",""
"0001483234","CRCM","Chun Ding","CRCM LP",""
"0001445893","CTC","Daniel Feuser","CTC LLC",""
