"Fund","CUSIP","Ticker","Company","Shares","Value","Avg_Price","Date","Filing_Date"
"FMR","75120L209","RLYB","RALLYBIO CORP","561798","6.16M","10.97","2026-03-04","2026-03-06"
"FMR","75120L209","RLYB","RALLYBIO CORP","372827","3.83M","10.28","2026-03-02","2026-03-06"
"First Beijing","54951L109","LKNCY","Luckin Coffee Inc.","107699376","3.65B","33.9","2026-03-02","2026-03-04"
"FMR","03940C100","ACLX","ARCELLX INC","309117","35.23M","113.97","2026-02-27","2026-03-06"
"FMR","JYH220000","AGMB","AGOMAB THERAPEUTICS SA","4873680","77.83M","15.97","2026-02-27","2026-03-06"
"FMR","05338F306","AVTX","AVALO THERAPEUTICS INC","2125819","36.37M","17.11","2026-02-27","2026-03-06"
"FMR","302301106","EZPW","EZCORP INC","6815415","179.25M","26.3","2026-02-27","2026-03-06"
"FMR","G39387108","GFS","GLOBALFOUNDRIES INC","56791802","2.64B","46.55","2026-02-27","2026-03-06"
"FMR","P2867P113","GGBR4.SA","GERDAU SA","2945534","N/A","N/A","2026-02-27","2026-03-06"
"FMR","135086106","GOOS","CANADA GOOSE HOLDINGS INC","4982499","60.84M","12.21","2026-02-27","2026-03-06"
"FMR","20459V105","GPGI","GPGI INC","31300658","707.08M","22.59","2026-02-27","2026-03-06"
"FMR","50155Q100","KD","KYNDRYL HOLDINGS INC","10237982","124.8M","12.19","2026-02-27","2026-03-06"
"FMR","50012A108","KGS","KODIAK GAS SERVICES INC","5085660","278.69M","54.8","2026-02-27","2026-03-06"
"FMR","G52694109","KNSA","KINIKSA PHARMACEUTICALS INTERNATIONAL PL","4854354","212.62M","43.8","2026-02-27","2026-03-06"
"FMR","52110M109","LAZ","LAZARD INC","11260412","575.29M","51.09","2026-02-27","2026-03-06"
"FMR","574795100","MASI","MASIMO CORP","2349974","412.14M","175.38","2026-02-27","2026-03-06"
"FMR","640268306","NKTR","NEKTAR THERAPEUTICS","3036760","203.55M","67.03","2026-02-27","2026-03-06"
"FMR","68062P106","OLMA","OLEMA PHARMACEUTICALS INC","9998059","245.75M","24.58","2026-02-27","2026-03-06"
"FMR","74276L105","PRCT","PROCEPT BIOROBOTICS CORP","1610138","36.94M","22.94","2026-02-27","2026-03-06"
"FMR","749527107","REVG","REV GROUP INC","0","0","63.9","2026-02-27","2026-03-06"
"FMR","G76279101","ROIV","ROIVANT SCIENCES LTD","73641253","2.11B","28.63","2026-02-27","2026-03-06"
"FMR","85208M102","SFM","SPROUTS FARMERS MARKET INC","9973789","743.65M","74.56","2026-02-27","2026-03-06"
"FMR","826919102","SLAB","SILICON LABORATORIES INC","697454","142.78M","204.71","2026-02-27","2026-03-06"
"FMR","886029206","THRY","THRYV HOLDINGS INC","1831468","3.9M","2.13","2026-02-27","2026-03-06"
"FMR","88025U109","TXG","10x Genomics, Inc.","18543561","410.93M","22.16","2026-02-27","2026-03-06"
"FMR","94724R108","WEAV","WEAVE COMMUNICATIONS INC","652733","3.26M","4.99","2026-02-27","2026-03-06"
"FMR","127203107","WHD","CACTUS INC","4434833","233.85M","52.73","2026-02-27","2026-03-06"
"FMR","98419J206","XOMA","XOMA ROYALTY CORPORATION","1268506","33.12M","26.11","2026-02-27","2026-03-06"
"Point72","27966L306","EDSA","Edesa Biotech, Inc.","600000","804K","1.34","2026-02-24","2026-03-03"
"Portolan","68373J104","LPRO","Open Lending Corp","7007120","9.53M","1.36","2026-02-19","2026-02-26"
"Point72","08659B102","BBNX","Beta Bionics, Inc.","2290023","29.06M","12.69","2026-02-18","2026-02-23"
"Point72","746964105","QTTB","Q32 Bio Inc.","2057308","8.5M","4.13","2026-02-17","2026-02-19"
"Point72","G6724L116","OKYO","OKYO Pharma Ltd","4058445","7.14M","1.76","2026-02-17","2026-02-18"
"Whetstone","42225T107","HCAT","Health Catalyst, Inc.","5782941","10.35M","1.79","2026-02-17","2026-02-18"
"Gendell Jeffrey","44951W106","IESC","IES Holdings, Inc.","10587161","5.45B","514.49","2026-02-12","2026-02-17"
"Portolan","346563109","FORR","Forrester Research, Inc.","1163008","7.7M","6.62","2026-02-11","2026-02-19"
"Amova","451051106","IBTA","Ibotta, Inc.","341265","7.67M","22.47","2025-12-31","2026-02-12"
"Amova","65345M108","NXDR","Nextdoor Holdings, Inc.","11899919","25.82M","2.17","2025-12-31","2026-02-12"
